Date,Teucrium SoybeanEtf_Open_average,Teucrium SoybeanEtf_Open_max,Teucrium SoybeanEtf_Open_min,Teucrium SoybeanEtf_High_average,Teucrium SoybeanEtf_High_max,Teucrium SoybeanEtf_High_min,Teucrium SoybeanEtf_Low_average,Teucrium SoybeanEtf_Low_max,Teucrium SoybeanEtf_Low_min,Teucrium SoybeanEtf_Close_average,Teucrium SoybeanEtf_Close_max,Teucrium SoybeanEtf_Close_min
2018-04-08,1.032200811569312,1.032200811569312,1.032200811569312,0.7875166360475938,0.7875166360475938,0.7875166360475938,1.1726110456774415,1.1726110456774415,1.1726110456774415,0.810482246443768,0.810482246443768,0.810482246443768
2018-04-15,0.3447097243152515,0.3447097243152515,0.3447097243152515,0.16567953851944361,0.16567953851944361,0.16567953851944361,0.42224602853362025,0.42224602853362025,0.42224602853362025,0.25319228763861407,0.25319228763861407,0.25319228763861407
2018-04-22,-0.36428277815070265,-0.36428277815070265,-0.36428277815070265,0.36158903110300605,0.36158903110300605,0.36158903110300605,-0.27999858700677666,-0.27999858700677666,-0.27999858700677666,0.33080278197353913,0.33080278197353913,0.33080278197353913
2018-04-29,0.19310228071781418,0.19310228071781418,0.19310228071781418,-0.24077090840571785,-0.24077090840571785,-0.24077090840571785,0.10826492360652168,0.10826492360652168,0.10826492360652168,-0.34332977367980705,-0.34332977367980705,-0.34332977367980705
2018-05-06,-1.5875615973631128,-1.5875615973631128,-1.5875615973631128,-2.3528817306596594,-2.3528817306596594,-2.3528817306596594,-1.8313561662106936,-1.8313561662106936,-1.8313561662106936,-2.5241965116222898,-2.5241965116222898,-2.5241965116222898
2018-05-13,-1.8207099342633193,-1.8207099342633193,-1.8207099342633193,-2.247913980635648,-2.247913980635648,-2.247913980635648,-1.9216041155913623,-1.9216041155913623,-1.9216041155913623,-2.2331433795728994,-2.2331433795728994,-2.2331433795728994
2018-05-20,0.27397342996263346,0.27397342996263346,0.27397342996263346,0.1337426175851346,0.1337426175851346,0.1337426175851346,0.5251419281576509,0.5251419281576509,0.5251419281576509,0.10189750773696321,0.10189750773696321,0.10189750773696321
2018-05-27,-0.28245845837747274,-0.28245845837747274,-0.28245845837747274,-0.24325259151043,-0.24325259151043,-0.24325259151043,-0.22905324144840375,-0.22905324144840375,-0.22905324144840375,0.00848405410317713,0.00848405410317713,0.00848405410317713
2018-06-03,-2.0684234400099664,-2.0684234400099664,-2.0684234400099664,-2.178450809121598,-2.178450809121598,-2.178450809121598,-1.983616512893739,-1.983616512893739,-1.983616512893739,-2.0623998518231086,-2.0623998518231086,-2.0623998518231086
2018-06-10,-2.796208183714683,-2.796208183714683,-2.796208183714683,-2.558292076390956,-2.558292076390956,-2.558292076390956,-2.7319290732986135,-2.7319290732986135,-2.7319290732986135,-2.720614734614058,-2.720614734614058,-2.720614734614058
2018-06-17,-2.292707657029901,-2.292707657029901,-2.292707657029901,-2.3298239065397253,-2.3298239065397253,-2.3298239065397253,-2.2980951418942377,-2.2980951418942377,-2.2980951418942377,-2.1221075289542584,-2.1221075289542584,-2.1221075289542584
2018-06-24,-2.0806140633411183,-2.0806140633411183,-2.0806140633411183,-2.069950712622174,-2.069950712622174,-2.069950712622174,-2.0685930565415576,-2.0685930565415576,-2.0685930565415576,-2.106557413708953,-2.106557413708953,-2.106557413708953
2018-07-01,-1.9294029656570482,-1.9294029656570482,-1.9294029656570482,-1.6189346721032327,-1.6189346721032327,-1.6189346721032327,-1.8498520800350218,-1.8498520800350218,-1.8498520800350218,-1.5146820892310622,-1.5146820892310622,-1.5146820892310622
2018-07-08,-1.7141823802232499,-1.7141823802232499,-1.7141823802232499,-1.9376395782928824,-1.9376395782928824,-1.9376395782928824,-1.8141122860702155,-1.8141122860702155,-1.8141122860702155,-1.8850850096850171,-1.8850850096850171,-1.8850850096850171
2018-07-15,-1.1968057304864368,-1.1968057304864368,-1.1968057304864368,-1.3255063426407472,-1.3255063426407472,-1.3255063426407472,-1.1865474396193347,-1.1865474396193347,-1.1865474396193347,-1.232575874763053,-1.232575874763053,-1.232575874763053
2018-07-22,-0.833732405843544,-0.833732405843544,-0.833732405843544,-0.8833010627609228,-0.8833010627609228,-0.8833010627609228,-0.7667785499788542,-0.7667785499788542,-0.7667785499788542,-0.8202775129964985,-0.8202775129964985,-0.8202775129964985
