Date,Fidelity Limited Term Bond_Open_average,Fidelity Limited Term Bond_Open_max,Fidelity Limited Term Bond_Open_min,Fidelity Limited Term Bond_Open_volatility,Fidelity Limited Term Bond_Open_change,Fidelity Limited Term Bond_High_average,Fidelity Limited Term Bond_High_max,Fidelity Limited Term Bond_High_min,Fidelity Limited Term Bond_High_volatility,Fidelity Limited Term Bond_High_change,Fidelity Limited Term Bond_Low_average,Fidelity Limited Term Bond_Low_max,Fidelity Limited Term Bond_Low_min,Fidelity Limited Term Bond_Low_volatility,Fidelity Limited Term Bond_Low_change,Fidelity Limited Term Bond_Close_average,Fidelity Limited Term Bond_Close_max,Fidelity Limited Term Bond_Close_min,Fidelity Limited Term Bond_Close_volatility,Fidelity Limited Term Bond_Close_change
2018-03-25,49.45,49.45,49.45,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.45,49.45,49.45,0.0,0.0,49.5,49.5,49.5,0.0,0.0
2018-04-01,49.43,49.43,49.43,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.5,49.5,49.5,0.0,0.0
2018-04-08,49.55,49.55,49.55,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.57,49.57,49.57,0.0,0.0
2018-04-15,49.45,49.45,49.45,0.0,0.0,49.46,49.46,49.46,0.0,0.0,49.39,49.39,49.39,0.0,0.0,49.44,49.44,49.44,0.0,0.0
2018-04-22,49.28,49.28,49.28,0.0,0.0,49.37,49.37,49.37,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.37,49.37,49.37,0.0,0.0
2018-04-29,49.27,49.27,49.27,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.34,49.34,49.34,0.0,0.0
2018-05-06,49.32,49.32,49.32,0.0,0.0,49.32,49.32,49.32,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.32,49.32,49.32,0.0,0.0
2018-05-13,49.38,49.38,49.38,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.3,49.3,49.3,0.0,0.0,49.31,49.31,49.31,0.0,0.0
2018-05-20,49.53,49.53,49.53,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.46,49.46,49.46,0.0,0.0
2018-05-27,49.4,49.4,49.4,0.0,0.0,49.41,49.41,49.41,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0
2018-06-03,49.42,49.42,49.42,0.0,0.0,49.42,49.42,49.42,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.42,49.42,49.42,0.0,0.0
2018-06-10,49.43,49.43,49.43,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.34,49.34,49.34,0.0,0.0
2018-06-17,49.37,49.37,49.37,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.22,49.22,49.22,0.0,0.0,49.35,49.35,49.35,0.0,0.0
2018-06-24,49.43,49.43,49.43,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.2,49.2,49.2,0.0,0.0,49.2,49.2,49.2,0.0,0.0
2018-07-01,49.37,49.37,49.37,0.0,0.0,49.39,49.39,49.39,0.0,0.0,49.22,49.22,49.22,0.0,0.0,49.35,49.35,49.35,0.0,0.0
2018-07-08,49.36,49.36,49.36,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.38,49.38,49.38,0.0,0.0
2018-07-15,49.46,49.46,49.46,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.33,49.33,49.33,0.0,0.0,49.33,49.33,49.33,0.0,0.0
2018-07-22,49.22,49.22,49.22,0.0,0.0,49.36,49.36,49.36,0.0,0.0,49.22,49.22,49.22,0.0,0.0,49.29,49.29,49.29,0.0,0.0
2018-07-29,49.36,49.36,49.36,0.0,0.0,49.46,49.46,49.46,0.0,0.0,49.36,49.36,49.36,0.0,0.0,49.4,49.4,49.4,0.0,0.0
2018-08-05,49.46,49.46,49.46,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.46,49.46,49.46,0.0,0.0,49.48,49.48,49.48,0.0,0.0
2018-08-12,49.57,49.57,49.57,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.59,49.59,49.59,0.0,0.0
2018-08-19,49.52,49.52,49.52,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.48,49.48,49.48,0.0,0.0
2018-08-26,49.49,49.49,49.49,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.41,49.41,49.41,0.0,0.0,49.43,49.43,49.43,0.0,0.0
2018-09-02,49.41,49.41,49.41,0.0,0.0,49.42,49.42,49.42,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0
2018-09-09,49.35,49.35,49.35,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.3,49.3,49.3,0.0,0.0,49.36,49.36,49.36,0.0,0.0
2018-09-16,49.3,49.3,49.3,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.3,49.3,49.3,0.0,0.0,49.33,49.33,49.33,0.0,0.0
2018-09-23,49.3,49.3,49.3,0.0,0.0,49.3,49.3,49.3,0.0,0.0,49.2,49.2,49.2,0.0,0.0,49.29,49.29,49.29,0.0,0.0
2018-09-30,49.19,49.19,49.19,0.0,0.0,49.19,49.19,49.19,0.0,0.0,49.07,49.07,49.07,0.0,0.0,49.1,49.1,49.1,0.0,0.0
2018-10-07,49.06,49.06,49.06,0.0,0.0,49.22,49.22,49.22,0.0,0.0,49.06,49.06,49.06,0.0,0.0,49.14,49.14,49.14,0.0,0.0
2018-10-14,49.24,49.24,49.24,0.0,0.0,49.24,49.24,49.24,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.14,49.14,49.14,0.0,0.0
2018-10-21,49.19,49.19,49.19,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.13,49.13,49.13,0.0,0.0,49.25,49.25,49.25,0.0,0.0
2018-10-28,49.16,49.16,49.16,0.0,0.0,49.19,49.19,49.19,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.17,49.17,49.17,0.0,0.0
2018-11-04,49.58,49.58,49.58,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.11,49.11,49.11,0.0,0.0,49.12,49.12,49.12,0.0,0.0
2018-11-11,49.33,49.33,49.33,0.0,0.0,49.33,49.33,49.33,0.0,0.0,49.17,49.17,49.17,0.0,0.0,49.24,49.24,49.24,0.0,0.0
2018-11-18,49.14,49.14,49.14,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.14,49.14,49.14,0.0,0.0,49.2,49.2,49.2,0.0,0.0
2018-11-25,48.96,48.96,48.96,0.0,0.0,49.09,49.09,49.09,0.0,0.0,48.96,48.96,48.96,0.0,0.0,49.05,49.05,49.05,0.0,0.0
2018-12-02,49.16,49.16,49.16,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.05,49.05,49.05,0.0,0.0,49.07,49.07,49.07,0.0,0.0
2018-12-09,49.08,49.08,49.08,0.0,0.0,49.17,49.17,49.17,0.0,0.0,49.08,49.08,49.08,0.0,0.0,49.17,49.17,49.17,0.0,0.0
2018-12-16,49.29,49.29,49.29,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.27,49.27,49.27,0.0,0.0
2018-12-23,49.25,49.25,49.25,0.0,0.0,50.99,50.99,50.99,0.0,0.0,49.22,49.22,49.22,0.0,0.0,49.39,49.39,49.39,0.0,0.0
2018-12-30,49.33,49.33,49.33,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.31,49.31,49.31,0.0,0.0
2019-01-06,49.41,49.41,49.41,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.39,49.39,49.39,0.0,0.0
2019-01-13,49.45,49.45,49.45,0.0,0.0,49.45,49.45,49.45,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.38,49.38,49.38,0.0,0.0
2019-01-20,49.56,49.56,49.56,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.47,49.47,49.47,0.0,0.0,49.49,49.49,49.49,0.0,0.0
2019-01-27,49.6,49.6,49.6,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.55,49.55,49.55,0.0,0.0,49.59,49.59,49.59,0.0,0.0
2019-02-03,49.7,49.7,49.7,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.66,49.66,49.66,0.0,0.0,49.71,49.71,49.71,0.0,0.0
2019-02-10,49.73,49.73,49.73,0.0,0.0,49.73,49.73,49.73,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2019-02-17,49.8,49.8,49.8,0.0,0.0,49.8,49.8,49.8,0.0,0.0,49.73,49.73,49.73,0.0,0.0,49.77,49.77,49.77,0.0,0.0
2019-02-24,49.64,49.64,49.64,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.72,49.72,49.72,0.0,0.0
2019-03-03,49.87,49.87,49.87,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.83,49.83,49.83,0.0,0.0
2019-03-10,49.95,49.95,49.95,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.92,49.92,49.92,0.0,0.0
2019-03-17,50.17,50.17,50.17,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2019-03-24,50.14,50.14,50.14,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2019-03-31,50.04,50.04,50.04,0.0,0.0,50.09,50.09,50.09,0.0,0.0,49.99,49.99,49.99,0.0,0.0,50.01,50.01,50.01,0.0,0.0
2019-04-07,49.96,49.96,49.96,0.0,0.0,50.05,50.05,50.05,0.0,0.0,49.96,49.96,49.96,0.0,0.0,50.05,50.05,50.05,0.0,0.0
2019-04-14,50.05,50.05,50.05,0.0,0.0,50.07,50.07,50.07,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2019-04-21,50.07,50.07,50.07,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2019-04-28,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2019-05-05,50.17,50.17,50.17,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.17,50.17,50.17,0.0,0.0
2019-05-12,50.2,50.2,50.2,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.21,50.21,50.21,0.0,0.0
2019-05-19,50.34,50.34,50.34,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.28,50.28,50.28,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2019-05-26,50.5,50.5,50.5,0.0,0.0,50.5,50.5,50.5,0.0,0.0,50.43,50.43,50.43,0.0,0.0,50.49,50.49,50.49,0.0,0.0
2019-06-02,50.55,50.55,50.55,0.0,0.0,50.55,50.55,50.55,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.5,50.5,50.5,0.0,0.0
2019-06-09,50.53,50.53,50.53,0.0,0.0,50.56,50.56,50.56,0.0,0.0,50.53,50.53,50.53,0.0,0.0,50.54,50.54,50.54,0.0,0.0
2019-06-16,50.79,50.79,50.79,0.0,0.0,50.79,50.79,50.79,0.0,0.0,50.74,50.74,50.74,0.0,0.0,50.77,50.77,50.77,0.0,0.0
2019-06-23,50.68,50.68,50.68,0.0,0.0,50.76,50.76,50.76,0.0,0.0,50.68,50.68,50.68,0.0,0.0,50.73,50.73,50.73,0.0,0.0
2019-06-30,50.64,50.64,50.64,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.62,50.62,50.62,0.0,0.0,50.62,50.62,50.62,0.0,0.0
2019-07-07,50.63,50.63,50.63,0.0,0.0,50.68,50.68,50.68,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.66,50.66,50.66,0.0,0.0
2019-07-14,50.81,50.81,50.81,0.0,0.0,50.81,50.81,50.81,0.0,0.0,50.75,50.75,50.75,0.0,0.0,50.78,50.78,50.78,0.0,0.0
2019-07-21,50.71,50.71,50.71,0.0,0.0,50.71,50.71,50.71,0.0,0.0,50.66,50.66,50.66,0.0,0.0,50.69,50.69,50.69,0.0,0.0
2019-07-28,50.91,50.91,50.91,0.0,0.0,50.98,50.98,50.98,0.0,0.0,50.91,50.91,50.91,0.0,0.0,50.93,50.93,50.93,0.0,0.0
2019-08-04,51.01,51.01,51.01,0.0,0.0,51.02,51.02,51.02,0.0,0.0,50.98,50.98,50.98,0.0,0.0,51.01,51.01,51.01,0.0,0.0
2019-08-11,51.09,51.09,51.09,0.0,0.0,51.09,51.09,51.09,0.0,0.0,51.06,51.06,51.06,0.0,0.0,51.09,51.09,51.09,0.0,0.0
2019-08-18,51.19,51.19,51.19,0.0,0.0,51.19,51.19,51.19,0.0,0.0,51.14,51.14,51.14,0.0,0.0,51.16,51.16,51.16,0.0,0.0
2019-08-25,51.11,51.11,51.11,0.0,0.0,51.11,51.11,51.11,0.0,0.0,51.08,51.08,51.08,0.0,0.0,51.11,51.11,51.11,0.0,0.0
2019-09-01,51.05,51.05,51.05,0.0,0.0,51.05,51.05,51.05,0.0,0.0,51.01,51.01,51.01,0.0,0.0,51.02,51.02,51.02,0.0,0.0
2019-09-08,50.73,50.73,50.73,0.0,0.0,50.82,50.82,50.82,0.0,0.0,50.73,50.73,50.73,0.0,0.0,50.81,50.81,50.81,0.0,0.0
2019-09-15,51.03,51.03,51.03,0.0,0.0,51.07,51.07,51.07,0.0,0.0,51.01,51.01,51.01,0.0,0.0,51.02,51.02,51.02,0.0,0.0
2019-09-22,50.95,50.95,50.95,0.0,0.0,50.96,50.96,50.96,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.94,50.94,50.94,0.0,0.0
2019-09-29,51.21,51.21,51.21,0.0,0.0,51.21,51.21,51.21,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.16,51.16,51.16,0.0,0.0
2019-10-06,50.98,50.98,50.98,0.0,0.0,51.06,51.06,51.06,0.0,0.0,50.98,50.98,50.98,0.0,0.0,51.03,51.03,51.03,0.0,0.0
2019-10-13,51.05,51.05,51.05,0.0,0.0,51.06,51.06,51.06,0.0,0.0,51.01,51.01,51.01,0.0,0.0,51.03,51.03,51.03,0.0,0.0
2019-10-20,51.02,51.02,51.02,0.0,0.0,51.02,51.02,51.02,0.0,0.0,50.97,50.97,50.97,0.0,0.0,51.02,51.02,51.02,0.0,0.0
2019-10-27,50.94,50.94,50.94,0.0,0.0,51.0,51.0,51.0,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.97,50.97,50.97,0.0,0.0
2019-11-03,50.79,50.79,50.79,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.79,50.79,50.79,0.0,0.0,50.88,50.88,50.88,0.0,0.0
2019-11-10,51.03,51.03,51.03,0.0,0.0,51.03,51.03,51.03,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.02,51.02,51.02,0.0,0.0
2019-11-17,51.0,51.0,51.0,0.0,0.0,51.08,51.08,51.08,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.06,51.06,51.06,0.0,0.0
2019-11-24,50.89,50.89,50.89,0.0,0.0,50.99,50.99,50.99,0.0,0.0,50.89,50.89,50.89,0.0,0.0,50.99,50.99,50.99,0.0,0.0
2019-12-01,51.02,51.02,51.02,0.0,0.0,51.02,51.02,51.02,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.97,50.97,50.97,0.0,0.0
2019-12-08,50.97,50.97,50.97,0.0,0.0,50.98,50.98,50.98,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.96,50.96,50.96,0.0,0.0
2019-12-15,51.02,51.02,51.02,0.0,0.0,51.02,51.02,51.02,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.98,50.98,50.98,0.0,0.0
2019-12-22,50.93,50.93,50.93,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.9,50.9,50.9,0.0,0.0,50.92,50.92,50.92,0.0,0.0
2019-12-29,50.94,50.94,50.94,0.0,0.0,51.05,51.05,51.05,0.0,0.0,50.94,50.94,50.94,0.0,0.0,51.04,51.04,51.04,0.0,0.0
