Date,First Trust Canada AlphaDEX_etf_Open_average,First Trust Canada AlphaDEX_etf_Open_max,First Trust Canada AlphaDEX_etf_Open_min,First Trust Canada AlphaDEX_etf_Open_volatility,First Trust Canada AlphaDEX_etf_Open_change,First Trust Canada AlphaDEX_etf_High_average,First Trust Canada AlphaDEX_etf_High_max,First Trust Canada AlphaDEX_etf_High_min,First Trust Canada AlphaDEX_etf_High_volatility,First Trust Canada AlphaDEX_etf_High_change,First Trust Canada AlphaDEX_etf_Low_average,First Trust Canada AlphaDEX_etf_Low_max,First Trust Canada AlphaDEX_etf_Low_min,First Trust Canada AlphaDEX_etf_Low_volatility,First Trust Canada AlphaDEX_etf_Low_change,First Trust Canada AlphaDEX_etf_Close_average,First Trust Canada AlphaDEX_etf_Close_max,First Trust Canada AlphaDEX_etf_Close_min,First Trust Canada AlphaDEX_etf_Close_volatility,First Trust Canada AlphaDEX_etf_Close_change
2018-01-14,26.7,26.7,26.7,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.7,26.7,26.7,0.0,0.0
2018-01-21,27.19,27.19,27.19,0.0,0.0,27.19,27.19,27.19,0.0,0.0,27.19,27.19,27.19,0.0,0.0,27.19,27.19,27.19,0.0,0.0
2018-01-28,26.14,26.14,26.14,0.0,0.0,26.14,26.14,26.14,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.62,25.62,25.62,0.0,0.0
2018-02-04,24.31,24.31,24.31,0.0,0.0,24.31,24.31,24.31,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0
2018-02-11,25.4,25.4,25.4,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.4,25.4,25.4,0.0,0.0
2018-02-18,25.48,25.48,25.48,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.48,25.48,25.48,0.0,0.0
2018-02-25,24.44,24.44,24.44,0.0,0.0,24.44,24.44,24.44,0.0,0.0,24.44,24.44,24.44,0.0,0.0,24.44,24.44,24.44,0.0,0.0
2018-03-04,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0
2018-03-11,24.75,24.75,24.75,0.0,0.0,24.89,24.89,24.89,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.89,24.89,24.89,0.0,0.0
2018-03-18,24.73,24.73,24.73,0.0,0.0,24.73,24.73,24.73,0.0,0.0,24.73,24.73,24.73,0.0,0.0,24.73,24.73,24.73,0.0,0.0
