Date,ANH_stock_Open_average,ANH_stock_Open_max,ANH_stock_Open_min,ANH_stock_Open_volatility,ANH_stock_Open_change,ANH_stock_High_average,ANH_stock_High_max,ANH_stock_High_min,ANH_stock_High_volatility,ANH_stock_High_change,ANH_stock_Low_average,ANH_stock_Low_max,ANH_stock_Low_min,ANH_stock_Low_volatility,ANH_stock_Low_change,ANH_stock_Close_average,ANH_stock_Close_max,ANH_stock_Close_min,ANH_stock_Close_volatility,ANH_stock_Close_change,ANH_stock_Volume_average,ANH_stock_Volume_max,ANH_stock_Volume_min,ANH_stock_Volume_volatility,ANH_stock_Volume_change
2018-01-14,5.2825,5.34,5.22,0.1200000000000001,-0.1200000000000001,5.3175,5.37,5.29,0.08000000000000007,-0.08000000000000007,5.24,5.26,5.22,0.040000000000000036,-0.040000000000000036,5.2625,5.3,5.23,0.0699999999999994,0.0,512523,596873,424154,172719,-62791
2018-01-21,5.24,5.27,5.22,0.04999999999999982,-0.02999999999999936,5.2620000000000005,5.28,5.24,0.040000000000000036,-0.040000000000000036,5.192,5.23,5.08,0.15000000000000036,-0.15000000000000036,5.21,5.24,5.1,0.14000000000000057,-0.13000000000000078,518838,994116,327632,666484,654473
2018-01-28,4.952,5.1,4.85,0.25,-0.21999999999999975,4.994,5.1,4.89,0.20999999999999996,-0.20999999999999996,4.87,4.95,4.8,0.15000000000000036,-0.15000000000000036,4.894,4.96,4.8,0.16000000000000014,-0.16000000000000014,950039,1221346,713931,507415,-474586
2018-02-04,4.718,4.79,4.58,0.20999999999999996,-0.03000000000000025,4.8020000000000005,4.86,4.78,0.08000000000000007,-0.009999999999999787,4.624,4.66,4.58,0.08000000000000007,0.07000000000000028,4.708,4.76,4.66,0.09999999999999964,0.05999999999999961,1011700,1515257,742022,773235,-713146
2018-02-11,4.772,4.93,4.68,0.25,0.20999999999999996,4.844,4.98,4.75,0.23000000000000043,0.23000000000000043,4.754,4.92,4.67,0.25,0.25,4.824,4.94,4.71,0.23000000000000043,0.23000000000000043,543936,606132,479289,126843,-91375
2018-02-18,4.8149999999999995,4.95,4.76,0.1900000000000004,-0.16999999999999993,4.8725,4.97,4.82,0.14999999999999947,-0.1200000000000001,4.7575,4.77,4.75,0.019999999999999574,0.009999999999999787,4.7775,4.84,4.75,0.08999999999999986,0.07000000000000028,702800,988469,416541,571928,-571928
2018-02-25,4.684,4.87,4.55,0.3200000000000003,-0.3100000000000005,4.744,4.89,4.63,0.2599999999999998,-0.17999999999999972,4.612,4.8,4.55,0.25,-0.2400000000000002,4.652,4.81,4.56,0.25,-0.09999999999999964,1388749,1790363,939291,851072,745080
2018-03-04,4.736,4.81,4.67,0.13999999999999968,0.08999999999999986,4.782,4.83,4.74,0.08999999999999986,0.08000000000000007,4.694,4.75,4.63,0.1200000000000001,0.08999999999999986,4.747999999999999,4.8,4.68,0.1200000000000001,0.08999999999999986,906942,1489488,627339,862149,-590306
2018-03-11,4.851999999999999,4.89,4.77,0.1200000000000001,0.11000000000000032,4.912,4.94,4.89,0.05000000000000071,0.05000000000000071,4.824,4.85,4.77,0.08000000000000007,0.08000000000000007,4.868,4.91,4.83,0.08000000000000007,0.0600000000000005,804991,1185353,602616,582737,454739
2018-03-18,4.8740000000000006,4.9,4.82,0.08000000000000007,0.0,4.926,4.97,4.88,0.08999999999999986,0.040000000000000036,4.844,4.87,4.82,0.04999999999999982,0.020000000000000462,4.864,4.89,4.83,0.05999999999999961,-0.009999999999999787,699598,944005,420972,523033,374088
