Date,Xtrackers Low Beta High Yield Bond_Open_average,Xtrackers Low Beta High Yield Bond_Open_max,Xtrackers Low Beta High Yield Bond_Open_min,Xtrackers Low Beta High Yield Bond_Open_volatility,Xtrackers Low Beta High Yield Bond_Open_change,Xtrackers Low Beta High Yield Bond_High_average,Xtrackers Low Beta High Yield Bond_High_max,Xtrackers Low Beta High Yield Bond_High_min,Xtrackers Low Beta High Yield Bond_High_volatility,Xtrackers Low Beta High Yield Bond_High_change,Xtrackers Low Beta High Yield Bond_Low_average,Xtrackers Low Beta High Yield Bond_Low_max,Xtrackers Low Beta High Yield Bond_Low_min,Xtrackers Low Beta High Yield Bond_Low_volatility,Xtrackers Low Beta High Yield Bond_Low_change,Xtrackers Low Beta High Yield Bond_Close_average,Xtrackers Low Beta High Yield Bond_Close_max,Xtrackers Low Beta High Yield Bond_Close_min,Xtrackers Low Beta High Yield Bond_Close_volatility,Xtrackers Low Beta High Yield Bond_Close_change
2018-01-14,49.98,49.98,49.98,0.0,0.0,49.98,49.98,49.98,0.0,0.0,49.98,49.98,49.98,0.0,0.0,49.98,49.98,49.98,0.0,0.0
2018-01-21,50.02,50.02,50.02,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.02,50.02,50.02,0.0,0.0
2018-01-28,49.62,49.62,49.62,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.62,49.62,49.62,0.0,0.0
2018-02-04,49.29,49.29,49.29,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.29,49.29,49.29,0.0,0.0
2018-02-11,49.12,49.12,49.12,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.12,49.12,49.12,0.0,0.0
2018-02-18,49.28,49.28,49.28,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.28,49.28,49.28,0.0,0.0
2018-02-25,49.29,49.29,49.29,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.29,49.29,49.29,0.0,0.0
2018-03-04,48.98,48.98,48.98,0.0,0.0,48.98,48.98,48.98,0.0,0.0,48.98,48.98,48.98,0.0,0.0,48.98,48.98,48.98,0.0,0.0
2018-03-11,49.12,49.12,49.12,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.12,49.12,49.12,0.0,0.0
2018-03-18,49.01,49.01,49.01,0.0,0.0,49.01,49.01,49.01,0.0,0.0,49.01,49.01,49.01,0.0,0.0,49.01,49.01,49.01,0.0,0.0
2018-03-25,48.91,48.91,48.91,0.0,0.0,48.91,48.91,48.91,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.87,48.87,48.87,0.0,0.0
2018-04-01,48.76,48.76,48.76,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.76,48.76,48.76,0.0,0.0
2018-04-08,48.91,48.91,48.91,0.0,0.0,48.94,48.94,48.94,0.0,0.0,48.83,48.83,48.83,0.0,0.0,48.83,48.83,48.83,0.0,0.0
2018-04-15,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.92,48.92,48.92,0.0,0.0,48.92,48.92,48.92,0.0,0.0
2018-04-22,48.78,48.78,48.78,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.78,48.78,48.78,0.0,0.0
2018-04-29,48.54,48.54,48.54,0.0,0.0,48.56,48.56,48.56,0.0,0.0,48.54,48.54,48.54,0.0,0.0,48.55,48.55,48.55,0.0,0.0
2018-05-06,48.65,48.65,48.65,0.0,0.0,48.69,48.69,48.69,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.69,48.69,48.69,0.0,0.0
2018-05-13,48.75,48.75,48.75,0.0,0.0,48.75,48.75,48.75,0.0,0.0,48.75,48.75,48.75,0.0,0.0,48.75,48.75,48.75,0.0,0.0
2018-05-20,48.93,48.93,48.93,0.0,0.0,48.93,48.93,48.93,0.0,0.0,48.93,48.93,48.93,0.0,0.0,48.93,48.93,48.93,0.0,0.0
2018-05-27,48.94,48.94,48.94,0.0,0.0,48.94,48.94,48.94,0.0,0.0,48.94,48.94,48.94,0.0,0.0,48.94,48.94,48.94,0.0,0.0
2018-06-03,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0
2018-06-10,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0
2018-06-17,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0
2018-06-24,48.99,48.99,48.99,0.0,0.0,48.99,48.99,48.99,0.0,0.0,48.99,48.99,48.99,0.0,0.0,48.99,48.99,48.99,0.0,0.0
2018-07-01,48.62,48.62,48.62,0.0,0.0,48.62,48.62,48.62,0.0,0.0,48.62,48.62,48.62,0.0,0.0,48.62,48.62,48.62,0.0,0.0
2018-07-08,48.38,48.38,48.38,0.0,0.0,48.38,48.38,48.38,0.0,0.0,48.35,48.35,48.35,0.0,0.0,48.35,48.35,48.35,0.0,0.0
2018-07-15,48.4,48.4,48.4,0.0,0.0,48.4,48.4,48.4,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.31,48.31,48.31,0.0,0.0
2018-07-22,48.35,48.35,48.35,0.0,0.0,48.38,48.38,48.38,0.0,0.0,48.35,48.35,48.35,0.0,0.0,48.38,48.38,48.38,0.0,0.0
2018-07-29,48.4,48.4,48.4,0.0,0.0,48.4,48.4,48.4,0.0,0.0,48.4,48.4,48.4,0.0,0.0,48.4,48.4,48.4,0.0,0.0
