Date,VelocityShares 3x Long Natural Gas linked to S&P GEtf_Open_average,VelocityShares 3x Long Natural Gas linked to S&P GEtf_Open_max,VelocityShares 3x Long Natural Gas linked to S&P GEtf_Open_min,VelocityShares 3x Long Natural Gas linked to S&P GEtf_Open_volatility,VelocityShares 3x Long Natural Gas linked to S&P GEtf_Open_change,VelocityShares 3x Long Natural Gas linked to S&P GEtf_High_average,VelocityShares 3x Long Natural Gas linked to S&P GEtf_High_max,VelocityShares 3x Long Natural Gas linked to S&P GEtf_High_min,VelocityShares 3x Long Natural Gas linked to S&P GEtf_High_volatility,VelocityShares 3x Long Natural Gas linked to S&P GEtf_High_change,VelocityShares 3x Long Natural Gas linked to S&P GEtf_Low_average,VelocityShares 3x Long Natural Gas linked to S&P GEtf_Low_max,VelocityShares 3x Long Natural Gas linked to S&P GEtf_Low_min,VelocityShares 3x Long Natural Gas linked to S&P GEtf_Low_volatility,VelocityShares 3x Long Natural Gas linked to S&P GEtf_Low_change,VelocityShares 3x Long Natural Gas linked to S&P GEtf_Close_average,VelocityShares 3x Long Natural Gas linked to S&P GEtf_Close_max,VelocityShares 3x Long Natural Gas linked to S&P GEtf_Close_min,VelocityShares 3x Long Natural Gas linked to S&P GEtf_Close_volatility,VelocityShares 3x Long Natural Gas linked to S&P GEtf_Close_change
2018-01-14,812.3,812.3,812.3,0.0,0.0,837.0,837.0,837.0,0.0,0.0,778.5,778.5,778.5,0.0,0.0,792.2,792.2,792.2,0.0,0.0
2018-01-21,981.9,981.9,981.9,0.0,0.0,1007.5,1007.5,1007.5,0.0,0.0,974.0,974.0,974.0,0.0,0.0,983.1,983.1,983.1,0.0,0.0
2018-01-28,702.6,702.6,702.6,0.0,0.0,720.1,720.1,720.1,0.0,0.0,693.1,693.1,693.1,0.0,0.0,710.7,710.7,710.7,0.0,0.0
2018-02-04,552.5,552.5,552.5,0.0,0.0,555.0,555.0,555.0,0.0,0.0,517.4,517.4,517.4,0.0,0.0,537.5,537.5,537.5,0.0,0.0
2018-02-11,519.6,519.6,519.6,0.0,0.0,528.1,528.1,528.1,0.0,0.0,515.5,515.5,515.5,0.0,0.0,522.0,522.0,522.0,0.0,0.0
2018-02-18,547.3,547.3,547.3,0.0,0.0,562.95,562.95,562.95,0.0,0.0,534.4,534.4,534.4,0.0,0.0,560.3,560.3,560.3,0.0,0.0
2018-02-25,582.2,582.2,582.2,0.0,0.0,590.1,590.1,590.1,0.0,0.0,575.8,575.8,575.8,0.0,0.0,586.5,586.5,586.5,0.0,0.0
2018-03-04,600.5,600.5,600.5,0.0,0.0,608.5,608.5,608.5,0.0,0.0,595.3,595.3,595.3,0.0,0.0,597.0,597.0,597.0,0.0,0.0
2018-03-11,565.7,565.7,565.7,0.0,0.0,579.12,579.12,579.12,0.0,0.0,563.2,563.2,563.2,0.0,0.0,577.6,577.6,577.6,0.0,0.0
2018-03-18,516.2,516.2,516.2,0.0,0.0,532.7,532.7,532.7,0.0,0.0,515.91,515.91,515.91,0.0,0.0,518.3,518.3,518.3,0.0,0.0
2018-03-25,591.0,591.0,591.0,0.0,0.0,598.9,598.9,598.9,0.0,0.0,576.0,576.0,576.0,0.0,0.0,580.8,580.8,580.8,0.0,0.0
2018-04-01,559.5,559.5,559.5,0.0,0.0,563.0,563.0,563.0,0.0,0.0,553.3,553.3,553.3,0.0,0.0,556.2,556.2,556.2,0.0,0.0
2018-04-08,572.5,572.5,572.5,0.0,0.0,586.64,586.64,586.64,0.0,0.0,570.05,570.05,570.05,0.0,0.0,574.3,574.3,574.3,0.0,0.0
