Date,Vanguard Total Corporate Bond Shares_etf_Open_average,Vanguard Total Corporate Bond Shares_etf_Open_max,Vanguard Total Corporate Bond Shares_etf_Open_min,Vanguard Total Corporate Bond Shares_etf_Open_volatility,Vanguard Total Corporate Bond Shares_etf_Open_change,Vanguard Total Corporate Bond Shares_etf_High_average,Vanguard Total Corporate Bond Shares_etf_High_max,Vanguard Total Corporate Bond Shares_etf_High_min,Vanguard Total Corporate Bond Shares_etf_High_volatility,Vanguard Total Corporate Bond Shares_etf_High_change,Vanguard Total Corporate Bond Shares_etf_Low_average,Vanguard Total Corporate Bond Shares_etf_Low_max,Vanguard Total Corporate Bond Shares_etf_Low_min,Vanguard Total Corporate Bond Shares_etf_Low_volatility,Vanguard Total Corporate Bond Shares_etf_Low_change,Vanguard Total Corporate Bond Shares_etf_Close_average,Vanguard Total Corporate Bond Shares_etf_Close_max,Vanguard Total Corporate Bond Shares_etf_Close_min,Vanguard Total Corporate Bond Shares_etf_Close_volatility,Vanguard Total Corporate Bond Shares_etf_Close_change
2018-07-15,81.4,81.4,81.4,0.0,0.0,81.4,81.4,81.4,0.0,0.0,81.26,81.26,81.26,0.0,0.0,81.29,81.29,81.29,0.0,0.0
2018-07-22,81.55,81.55,81.55,0.0,0.0,81.56,81.56,81.56,0.0,0.0,81.5,81.5,81.5,0.0,0.0,81.5,81.5,81.5,0.0,0.0
2018-07-29,81.42,81.42,81.42,0.0,0.0,81.45,81.45,81.45,0.0,0.0,81.31,81.31,81.31,0.0,0.0,81.4,81.4,81.4,0.0,0.0
2018-08-05,81.57,81.57,81.57,0.0,0.0,81.57,81.57,81.57,0.0,0.0,81.33,81.33,81.33,0.0,0.0,81.37,81.37,81.37,0.0,0.0
2018-08-12,81.83,81.83,81.83,0.0,0.0,81.89,81.89,81.89,0.0,0.0,81.76,81.76,81.76,0.0,0.0,81.84,81.84,81.84,0.0,0.0
2018-08-19,81.8,81.8,81.8,0.0,0.0,81.88,81.88,81.88,0.0,0.0,81.78,81.78,81.78,0.0,0.0,81.88,81.88,81.88,0.0,0.0
2018-08-26,81.61,81.61,81.61,0.0,0.0,81.84,81.84,81.84,0.0,0.0,81.61,81.61,81.61,0.0,0.0,81.63,81.63,81.63,0.0,0.0
2018-09-02,81.23,81.23,81.23,0.0,0.0,81.23,81.23,81.23,0.0,0.0,81.01,81.01,81.01,0.0,0.0,81.07,81.07,81.07,0.0,0.0
2018-09-09,81.14,81.14,81.14,0.0,0.0,81.23,81.23,81.23,0.0,0.0,81.14,81.14,81.14,0.0,0.0,81.22,81.22,81.22,0.0,0.0
2018-09-16,81.01,81.01,81.01,0.0,0.0,81.01,81.01,81.01,0.0,0.0,80.93,80.93,80.93,0.0,0.0,80.96,80.96,80.96,0.0,0.0
2018-09-23,81.29,81.29,81.29,0.0,0.0,81.29,81.29,81.29,0.0,0.0,81.13,81.13,81.13,0.0,0.0,81.13,81.13,81.13,0.0,0.0
2018-09-30,80.2,80.2,80.2,0.0,0.0,80.2,80.2,80.2,0.0,0.0,79.9,79.9,79.9,0.0,0.0,80.03,80.03,80.03,0.0,0.0
2018-10-07,80.21,80.21,80.21,0.0,0.0,80.4,80.4,80.4,0.0,0.0,80.21,80.21,80.21,0.0,0.0,80.34,80.34,80.34,0.0,0.0
2018-10-14,79.91,79.91,79.91,0.0,0.0,80.0,80.0,80.0,0.0,0.0,79.89,79.89,79.89,0.0,0.0,79.97,79.97,79.97,0.0,0.0
2018-10-21,80.26,80.26,80.26,0.0,0.0,80.26,80.26,80.26,0.0,0.0,80.04,80.04,80.04,0.0,0.0,80.08,80.08,80.08,0.0,0.0
2018-10-28,79.32,79.32,79.32,0.0,0.0,79.5,79.5,79.5,0.0,0.0,79.32,79.32,79.32,0.0,0.0,79.33,79.33,79.33,0.0,0.0
2018-11-04,79.59,79.59,79.59,0.0,0.0,79.7,79.7,79.7,0.0,0.0,79.51,79.51,79.51,0.0,0.0,79.64,79.64,79.64,0.0,0.0
2018-11-11,79.2,79.2,79.2,0.0,0.0,79.3,79.3,79.3,0.0,0.0,79.12,79.12,79.12,0.0,0.0,79.3,79.3,79.3,0.0,0.0
2018-11-18,79.48,79.48,79.48,0.0,0.0,79.48,79.48,79.48,0.0,0.0,79.37,79.37,79.37,0.0,0.0,79.37,79.37,79.37,0.0,0.0
2018-11-25,79.27,79.27,79.27,0.0,0.0,79.34,79.34,79.34,0.0,0.0,79.1,79.1,79.1,0.0,0.0,79.24,79.24,79.24,0.0,0.0
2018-12-02,79.47,79.47,79.47,0.0,0.0,79.47,79.47,79.47,0.0,0.0,79.3,79.3,79.3,0.0,0.0,79.42,79.42,79.42,0.0,0.0
2018-12-09,79.9,79.9,79.9,0.0,0.0,80.02,80.02,80.02,0.0,0.0,79.88,79.88,79.88,0.0,0.0,79.93,79.93,79.93,0.0,0.0
2018-12-16,80.22,80.22,80.22,0.0,0.0,80.22,80.22,80.22,0.0,0.0,79.83,79.83,79.83,0.0,0.0,79.84,79.84,79.84,0.0,0.0
2018-12-23,79.57,79.57,79.57,0.0,0.0,79.79,79.79,79.79,0.0,0.0,79.57,79.57,79.57,0.0,0.0,79.78,79.78,79.78,0.0,0.0
2018-12-30,80.11,80.11,80.11,0.0,0.0,80.19,80.19,80.19,0.0,0.0,80.04,80.04,80.04,0.0,0.0,80.13,80.13,80.13,0.0,0.0
2019-01-06,80.5,80.5,80.5,0.0,0.0,80.5,80.5,80.5,0.0,0.0,80.46,80.46,80.46,0.0,0.0,80.47,80.47,80.47,0.0,0.0
2019-01-13,80.57,80.57,80.57,0.0,0.0,80.69,80.69,80.69,0.0,0.0,80.53,80.53,80.53,0.0,0.0,80.69,80.69,80.69,0.0,0.0
2019-01-20,81.07,81.07,81.07,0.0,0.0,81.14,81.14,81.14,0.0,0.0,81.07,81.07,81.07,0.0,0.0,81.13,81.13,81.13,0.0,0.0
2019-01-27,81.89,81.89,81.89,0.0,0.0,81.91,81.91,81.91,0.0,0.0,81.56,81.56,81.56,0.0,0.0,81.67,81.67,81.67,0.0,0.0
2019-02-03,81.89,81.89,81.89,0.0,0.0,81.99,81.99,81.99,0.0,0.0,81.76,81.76,81.76,0.0,0.0,81.97,81.97,81.97,0.0,0.0
2019-02-10,81.86,81.86,81.86,0.0,0.0,81.96,81.96,81.96,0.0,0.0,81.85,81.85,81.85,0.0,0.0,81.91,81.91,81.91,0.0,0.0
2019-02-17,81.94,81.94,81.94,0.0,0.0,82.06,82.06,82.06,0.0,0.0,81.9,81.9,81.9,0.0,0.0,82.01,82.01,82.01,0.0,0.0
2019-02-24,81.71,81.71,81.71,0.0,0.0,81.71,81.71,81.71,0.0,0.0,81.54,81.54,81.54,0.0,0.0,81.54,81.54,81.54,0.0,0.0
2019-03-03,82.04,82.04,82.04,0.0,0.0,82.09,82.09,82.09,0.0,0.0,81.85,81.85,81.85,0.0,0.0,82.06,82.06,82.06,0.0,0.0
2019-03-10,82.42,82.42,82.42,0.0,0.0,82.51,82.51,82.51,0.0,0.0,82.29,82.29,82.29,0.0,0.0,82.39,82.39,82.39,0.0,0.0
2019-03-17,83.15,83.15,83.15,0.0,0.0,83.46,83.46,83.46,0.0,0.0,83.15,83.15,83.15,0.0,0.0,83.39,83.39,83.39,0.0,0.0
2019-03-24,83.67,83.67,83.67,0.0,0.0,83.85,83.85,83.85,0.0,0.0,83.65,83.65,83.65,0.0,0.0,83.76,83.76,83.76,0.0,0.0
2019-03-31,83.19,83.19,83.19,0.0,0.0,83.33,83.33,83.33,0.0,0.0,83.19,83.19,83.19,0.0,0.0,83.26,83.26,83.26,0.0,0.0
2019-04-07,83.84,83.84,83.84,0.0,0.0,83.84,83.84,83.84,0.0,0.0,83.48,83.48,83.48,0.0,0.0,83.56,83.56,83.56,0.0,0.0
2019-04-14,83.39,83.39,83.39,0.0,0.0,83.46,83.46,83.46,0.0,0.0,83.37,83.37,83.37,0.0,0.0,83.4,83.4,83.4,0.0,0.0
2019-04-21,83.87,83.87,83.87,0.0,0.0,84.0,84.0,84.0,0.0,0.0,83.87,83.87,83.87,0.0,0.0,83.97,83.97,83.97,0.0,0.0
2019-04-28,83.43,83.43,83.43,0.0,0.0,83.59,83.59,83.59,0.0,0.0,83.39,83.39,83.39,0.0,0.0,83.46,83.46,83.46,0.0,0.0
2019-05-05,83.56,83.56,83.56,0.0,0.0,83.6,83.6,83.6,0.0,0.0,83.53,83.53,83.53,0.0,0.0,83.6,83.6,83.6,0.0,0.0
2019-05-12,83.95,83.95,83.95,0.0,0.0,83.95,83.95,83.95,0.0,0.0,83.77,83.77,83.77,0.0,0.0,83.85,83.85,83.85,0.0,0.0
2019-05-19,84.13,84.13,84.13,0.0,0.0,84.32,84.32,84.32,0.0,0.0,83.9,83.9,83.9,0.0,0.0,84.24,84.24,84.24,0.0,0.0
2019-05-26,84.65,84.65,84.65,0.0,0.0,84.79,84.79,84.79,0.0,0.0,84.53,84.53,84.53,0.0,0.0,84.79,84.79,84.79,0.0,0.0
2019-06-02,85.11,85.11,85.11,0.0,0.0,85.26,85.26,85.26,0.0,0.0,85.03,85.03,85.03,0.0,0.0,85.22,85.22,85.22,0.0,0.0
2019-06-09,85.13,85.13,85.13,0.0,0.0,85.28,85.28,85.28,0.0,0.0,85.13,85.13,85.13,0.0,0.0,85.24,85.24,85.24,0.0,0.0
2019-06-16,86.34,86.34,86.34,0.0,0.0,86.34,86.34,86.34,0.0,0.0,86.1,86.1,86.1,0.0,0.0,86.28,86.28,86.28,0.0,0.0
2019-06-23,86.6,86.6,86.6,0.0,0.0,86.74,86.74,86.74,0.0,0.0,86.51,86.51,86.51,0.0,0.0,86.74,86.74,86.74,0.0,0.0
2019-06-30,86.5,86.5,86.5,0.0,0.0,86.53,86.53,86.53,0.0,0.0,86.13,86.13,86.13,0.0,0.0,86.46,86.46,86.46,0.0,0.0
2019-07-07,85.86,85.86,85.86,0.0,0.0,86.09,86.09,86.09,0.0,0.0,85.86,85.86,85.86,0.0,0.0,86.06,86.06,86.06,0.0,0.0
2019-07-14,86.48,86.48,86.48,0.0,0.0,86.58,86.58,86.58,0.0,0.0,86.0,86.0,86.0,0.0,0.0,86.45,86.45,86.45,0.0,0.0
2019-07-21,86.69,86.69,86.69,0.0,0.0,86.73,86.73,86.73,0.0,0.0,86.67,86.67,86.67,0.0,0.0,86.73,86.73,86.73,0.0,0.0
2019-07-28,87.2,87.2,87.2,0.0,0.0,87.28,87.28,87.28,0.0,0.0,87.08,87.08,87.08,0.0,0.0,87.25,87.25,87.25,0.0,0.0
2019-08-04,88.01,88.01,88.01,0.0,0.0,88.01,88.01,88.01,0.0,0.0,87.75,87.75,87.75,0.0,0.0,87.75,87.75,87.75,0.0,0.0
2019-08-11,88.65,88.65,88.65,0.0,0.0,88.93,88.93,88.93,0.0,0.0,88.5,88.5,88.5,0.0,0.0,88.78,88.78,88.78,0.0,0.0
2019-08-18,88.72,88.72,88.72,0.0,0.0,89.18,89.18,89.18,0.0,0.0,88.72,88.72,88.72,0.0,0.0,88.99,88.99,88.99,0.0,0.0
2019-08-25,89.28,89.28,89.28,0.0,0.0,89.37,89.37,89.37,0.0,0.0,89.08,89.08,89.08,0.0,0.0,89.37,89.37,89.37,0.0,0.0
2019-09-01,88.83,88.83,88.83,0.0,0.0,88.94,88.94,88.94,0.0,0.0,88.71,88.71,88.71,0.0,0.0,88.93,88.93,88.93,0.0,0.0
2019-09-08,87.16,87.16,87.16,0.0,0.0,87.29,87.29,87.29,0.0,0.0,86.7,86.7,86.7,0.0,0.0,86.75,86.75,86.75,0.0,0.0
2019-09-15,87.97,87.97,87.97,0.0,0.0,88.23,88.23,88.23,0.0,0.0,87.9,87.9,87.9,0.0,0.0,88.23,88.23,88.23,0.0,0.0
2019-09-22,88.35,88.35,88.35,0.0,0.0,88.53,88.53,88.53,0.0,0.0,88.25,88.25,88.25,0.0,0.0,88.33,88.33,88.33,0.0,0.0
2019-09-29,88.86,88.86,88.86,0.0,0.0,89.0,89.0,89.0,0.0,0.0,88.83,88.83,88.83,0.0,0.0,88.94,88.94,88.94,0.0,0.0
2019-10-06,88.0,88.0,88.0,0.0,0.0,88.2,88.2,88.2,0.0,0.0,87.74,87.74,87.74,0.0,0.0,87.9,87.9,87.9,0.0,0.0
2019-10-13,88.13,88.13,88.13,0.0,0.0,88.37,88.37,88.37,0.0,0.0,88.13,88.13,88.13,0.0,0.0,88.23,88.23,88.23,0.0,0.0
2019-10-20,88.43,88.43,88.43,0.0,0.0,88.46,88.46,88.46,0.0,0.0,88.16,88.16,88.16,0.0,0.0,88.21,88.21,88.21,0.0,0.0
2019-10-27,88.52,88.52,88.52,0.0,0.0,88.56,88.56,88.56,0.0,0.0,88.37,88.37,88.37,0.0,0.0,88.47,88.47,88.47,0.0,0.0
2019-11-03,87.47,87.47,87.47,0.0,0.0,87.69,87.69,87.69,0.0,0.0,87.35,87.35,87.35,0.0,0.0,87.35,87.35,87.35,0.0,0.0
2019-11-10,88.11,88.11,88.11,0.0,0.0,88.11,88.11,88.11,0.0,0.0,88.0,88.0,88.0,0.0,0.0,88.02,88.02,88.02,0.0,0.0
2019-11-17,88.41,88.41,88.41,0.0,0.0,88.48,88.48,88.48,0.0,0.0,88.35,88.35,88.35,0.0,0.0,88.42,88.42,88.42,0.0,0.0
2019-11-24,88.82,88.82,88.82,0.0,0.0,88.9,88.9,88.9,0.0,0.0,88.69,88.69,88.69,0.0,0.0,88.9,88.9,88.9,0.0,0.0
2019-12-01,88.34,88.34,88.34,0.0,0.0,88.63,88.63,88.63,0.0,0.0,88.32,88.32,88.32,0.0,0.0,88.36,88.36,88.36,0.0,0.0
2019-12-08,88.53,88.53,88.53,0.0,0.0,88.92,88.92,88.92,0.0,0.0,88.5,88.5,88.5,0.0,0.0,88.78,88.78,88.78,0.0,0.0
2019-12-15,88.52,88.52,88.52,0.0,0.0,88.7,88.7,88.7,0.0,0.0,88.48,88.48,88.48,0.0,0.0,88.64,88.64,88.64,0.0,0.0
2019-12-22,88.78,88.78,88.78,0.0,0.0,89.34,89.34,89.34,0.0,0.0,88.59,88.59,88.59,0.0,0.0,88.79,88.79,88.79,0.0,0.0
2019-12-29,88.98,88.98,88.98,0.0,0.0,89.13,89.13,89.13,0.0,0.0,88.78,88.78,88.78,0.0,0.0,89.05,89.05,89.05,0.0,0.0
