Date,Franklin FTSE Italy_Open_average,Franklin FTSE Italy_Open_max,Franklin FTSE Italy_Open_min,Franklin FTSE Italy_Open_volatility,Franklin FTSE Italy_Open_change,Franklin FTSE Italy_High_average,Franklin FTSE Italy_High_max,Franklin FTSE Italy_High_min,Franklin FTSE Italy_High_volatility,Franklin FTSE Italy_High_change,Franklin FTSE Italy_Low_average,Franklin FTSE Italy_Low_max,Franklin FTSE Italy_Low_min,Franklin FTSE Italy_Low_volatility,Franklin FTSE Italy_Low_change,Franklin FTSE Italy_Close_average,Franklin FTSE Italy_Close_max,Franklin FTSE Italy_Close_min,Franklin FTSE Italy_Close_volatility,Franklin FTSE Italy_Close_change
2018-01-14,27.85,27.85,27.85,0.0,0.0,27.85,27.85,27.85,0.0,0.0,27.85,27.85,27.85,0.0,0.0,27.85,27.85,27.85,0.0,0.0
2018-01-21,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0
2018-01-28,27.12,27.12,27.12,0.0,0.0,27.12,27.12,27.12,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.36,26.36,26.36,0.0,0.0
2018-02-04,26.59,26.59,26.59,0.0,0.0,26.59,26.59,26.59,0.0,0.0,26.59,26.59,26.59,0.0,0.0,26.59,26.59,26.59,0.0,0.0
2018-02-11,26.81,26.81,26.81,0.0,0.0,26.81,26.81,26.81,0.0,0.0,26.81,26.81,26.81,0.0,0.0,26.81,26.81,26.81,0.0,0.0
2018-02-18,26.62,26.62,26.62,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.35,26.35,26.35,0.0,0.0,26.35,26.35,26.35,0.0,0.0
2018-02-25,25.82,25.82,25.82,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.82,25.82,25.82,0.0,0.0
2018-03-04,26.41,26.41,26.41,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.44,26.44,26.44,0.0,0.0
2018-03-11,26.81,26.81,26.81,0.0,0.0,26.81,26.81,26.81,0.0,0.0,26.81,26.81,26.81,0.0,0.0,26.81,26.81,26.81,0.0,0.0
2018-03-18,26.62,26.62,26.62,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.62,26.62,26.62,0.0,0.0
2018-03-25,25.93,25.93,25.93,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.81,25.81,25.81,0.0,0.0
2018-04-01,27.68,27.68,27.68,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.52,27.52,27.52,0.0,0.0,27.52,27.52,27.52,0.0,0.0
2018-04-08,27.8,27.8,27.8,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.8,27.8,27.8,0.0,0.0
2018-04-15,27.79,27.79,27.79,0.0,0.0,27.79,27.79,27.79,0.0,0.0,27.79,27.79,27.79,0.0,0.0,27.79,27.79,27.79,0.0,0.0
2018-04-22,27.77,27.77,27.77,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.77,27.77,27.77,0.0,0.0
2018-04-29,27.85,27.85,27.85,0.0,0.0,27.85,27.85,27.85,0.0,0.0,27.85,27.85,27.85,0.0,0.0,27.85,27.85,27.85,0.0,0.0
2018-05-06,27.38,27.38,27.38,0.0,0.0,27.51,27.51,27.51,0.0,0.0,27.38,27.38,27.38,0.0,0.0,27.51,27.51,27.51,0.0,0.0
2018-05-13,26.77,26.77,26.77,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.77,26.77,26.77,0.0,0.0
2018-05-20,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0
2018-05-27,24.98,24.98,24.98,0.0,0.0,24.98,24.98,24.98,0.0,0.0,24.98,24.98,24.98,0.0,0.0,24.98,24.98,24.98,0.0,0.0
