Date,Credit Suisse X Links Multi Asset High Income_Open_average,Credit Suisse X Links Multi Asset High Income_Open_max,Credit Suisse X Links Multi Asset High Income_Open_min,Credit Suisse X Links Multi Asset High Income_Open_volatility,Credit Suisse X Links Multi Asset High Income_Open_change,Credit Suisse X Links Multi Asset High Income_High_average,Credit Suisse X Links Multi Asset High Income_High_max,Credit Suisse X Links Multi Asset High Income_High_min,Credit Suisse X Links Multi Asset High Income_High_volatility,Credit Suisse X Links Multi Asset High Income_High_change,Credit Suisse X Links Multi Asset High Income_Low_average,Credit Suisse X Links Multi Asset High Income_Low_max,Credit Suisse X Links Multi Asset High Income_Low_min,Credit Suisse X Links Multi Asset High Income_Low_volatility,Credit Suisse X Links Multi Asset High Income_Low_change,Credit Suisse X Links Multi Asset High Income_Close_average,Credit Suisse X Links Multi Asset High Income_Close_max,Credit Suisse X Links Multi Asset High Income_Close_min,Credit Suisse X Links Multi Asset High Income_Close_volatility,Credit Suisse X Links Multi Asset High Income_Close_change
2018-01-14,28.43,28.43,28.43,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.23,28.23,28.23,0.0,0.0
2018-01-21,28.42,28.42,28.42,0.0,0.0,28.42,28.42,28.42,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.35,28.35,28.35,0.0,0.0
2018-01-28,27.03,27.03,27.03,0.0,0.0,27.03,27.03,27.03,0.0,0.0,27.03,27.03,27.03,0.0,0.0,27.03,27.03,27.03,0.0,0.0
2018-02-04,27.31,27.31,27.31,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.3,27.3,27.3,0.0,0.0
2018-02-11,28.29,28.29,28.29,0.0,0.0,28.29,28.29,28.29,0.0,0.0,27.38,27.38,27.38,0.0,0.0,27.38,27.38,27.38,0.0,0.0
2018-02-18,27.23,27.23,27.23,0.0,0.0,27.23,27.23,27.23,0.0,0.0,27.23,27.23,27.23,0.0,0.0,27.23,27.23,27.23,0.0,0.0
2018-02-25,27.08,27.08,27.08,0.0,0.0,27.08,27.08,27.08,0.0,0.0,27.08,27.08,27.08,0.0,0.0,27.08,27.08,27.08,0.0,0.0
2018-03-04,27.55,27.55,27.55,0.0,0.0,27.55,27.55,27.55,0.0,0.0,27.55,27.55,27.55,0.0,0.0,27.55,27.55,27.55,0.0,0.0
2018-03-11,27.51,27.51,27.51,0.0,0.0,27.54,27.54,27.54,0.0,0.0,27.51,27.51,27.51,0.0,0.0,27.54,27.54,27.54,0.0,0.0
2018-03-18,27.33,27.33,27.33,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.33,27.33,27.33,0.0,0.0
2018-03-25,27.61,27.61,27.61,0.0,0.0,27.62,27.62,27.62,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.61,27.61,27.61,0.0,0.0
