Date,IQ Hedge Multi-Strategy TrackerEtf_Open_average,IQ Hedge Multi-Strategy TrackerEtf_Open_max,IQ Hedge Multi-Strategy TrackerEtf_Open_min,IQ Hedge Multi-Strategy TrackerEtf_Open_volatility,IQ Hedge Multi-Strategy TrackerEtf_Open_change,IQ Hedge Multi-Strategy TrackerEtf_High_average,IQ Hedge Multi-Strategy TrackerEtf_High_max,IQ Hedge Multi-Strategy TrackerEtf_High_min,IQ Hedge Multi-Strategy TrackerEtf_High_volatility,IQ Hedge Multi-Strategy TrackerEtf_High_change,IQ Hedge Multi-Strategy TrackerEtf_Low_average,IQ Hedge Multi-Strategy TrackerEtf_Low_max,IQ Hedge Multi-Strategy TrackerEtf_Low_min,IQ Hedge Multi-Strategy TrackerEtf_Low_volatility,IQ Hedge Multi-Strategy TrackerEtf_Low_change,IQ Hedge Multi-Strategy TrackerEtf_Close_average,IQ Hedge Multi-Strategy TrackerEtf_Close_max,IQ Hedge Multi-Strategy TrackerEtf_Close_min,IQ Hedge Multi-Strategy TrackerEtf_Close_volatility,IQ Hedge Multi-Strategy TrackerEtf_Close_change
2018-01-14,30.95,30.95,30.95,0.0,0.0,30.99,30.99,30.99,0.0,0.0,30.94,30.94,30.94,0.0,0.0,30.98,30.98,30.98,0.0,0.0
2018-01-21,31.18,31.18,31.18,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.25,31.25,31.25,0.0,0.0
2018-01-28,31.01,31.01,31.01,0.0,0.0,31.01,31.01,31.01,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.8,30.8,30.8,0.0,0.0
2018-02-04,30.27,30.27,30.27,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.26,30.26,30.26,0.0,0.0
2018-02-11,30.61,30.61,30.61,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2018-02-18,30.64,30.64,30.64,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.72,30.72,30.72,0.0,0.0
2018-02-25,30.4,30.4,30.4,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.51,30.51,30.51,0.0,0.0
2018-03-04,30.73,30.73,30.73,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.81,30.81,30.81,0.0,0.0
2018-03-11,30.74,30.74,30.74,0.0,0.0,30.82,30.82,30.82,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2018-03-18,30.4,30.4,30.4,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.21,30.21,30.21,0.0,0.0
2018-03-25,30.29,30.29,30.29,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2018-04-01,30.46,30.46,30.46,0.0,0.0,30.9,30.9,30.9,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2018-04-08,30.65,30.65,30.65,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.58,30.58,30.58,0.0,0.0
2018-04-15,30.6,30.6,30.6,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.47,30.47,30.47,0.0,0.0
2018-04-22,30.42,30.42,30.42,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2018-04-29,30.35,30.35,30.35,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.4,30.4,30.4,0.0,0.0
2018-05-06,30.62,30.62,30.62,0.0,0.0,30.69,30.69,30.69,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2018-05-13,30.6,30.6,30.6,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.56,30.56,30.56,0.0,0.0
2018-05-20,30.57,30.57,30.57,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2018-05-27,30.64,30.64,30.64,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.66,30.66,30.66,0.0,0.0
2018-06-03,30.75,30.75,30.75,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.69,30.69,30.69,0.0,0.0,30.77,30.77,30.77,0.0,0.0
2018-06-10,30.7,30.7,30.7,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.72,30.72,30.72,0.0,0.0
2018-06-17,30.61,30.61,30.61,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2018-06-24,30.38,30.38,30.38,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.39,30.39,30.39,0.0,0.0
2018-07-01,30.41,30.41,30.41,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.53,30.53,30.53,0.0,0.0
2018-07-08,30.57,30.57,30.57,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.61,30.61,30.61,0.0,0.0
2018-07-15,30.63,30.63,30.63,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.61,30.61,30.61,0.0,0.0
2018-07-22,30.73,30.73,30.73,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.64,30.64,30.64,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2018-07-29,30.6,30.6,30.6,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.66,30.66,30.66,0.0,0.0
2018-08-05,30.56,30.56,30.56,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.59,30.59,30.59,0.0,0.0
2018-08-12,30.45,30.45,30.45,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.49,30.49,30.49,0.0,0.0
2018-08-19,30.61,30.61,30.61,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.69,30.69,30.69,0.0,0.0
2018-08-26,30.7,30.7,30.7,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.74,30.74,30.74,0.0,0.0
