Date,Arrow Dow Jones Global Yield_etf_Open_average,Arrow Dow Jones Global Yield_etf_Open_max,Arrow Dow Jones Global Yield_etf_Open_min,Arrow Dow Jones Global Yield_etf_Open_volatility,Arrow Dow Jones Global Yield_etf_Open_change,Arrow Dow Jones Global Yield_etf_High_average,Arrow Dow Jones Global Yield_etf_High_max,Arrow Dow Jones Global Yield_etf_High_min,Arrow Dow Jones Global Yield_etf_High_volatility,Arrow Dow Jones Global Yield_etf_High_change,Arrow Dow Jones Global Yield_etf_Low_average,Arrow Dow Jones Global Yield_etf_Low_max,Arrow Dow Jones Global Yield_etf_Low_min,Arrow Dow Jones Global Yield_etf_Low_volatility,Arrow Dow Jones Global Yield_etf_Low_change,Arrow Dow Jones Global Yield_etf_Close_average,Arrow Dow Jones Global Yield_etf_Close_max,Arrow Dow Jones Global Yield_etf_Close_min,Arrow Dow Jones Global Yield_etf_Close_volatility,Arrow Dow Jones Global Yield_etf_Close_change
2018-01-14,18.53,18.53,18.53,0.0,0.0,18.67,18.67,18.67,0.0,0.0,18.52,18.52,18.52,0.0,0.0,18.64,18.64,18.64,0.0,0.0
2018-01-21,18.81,18.81,18.81,0.0,0.0,19.17,19.17,19.17,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.85,18.85,18.85,0.0,0.0
2018-01-28,18.45,18.45,18.45,0.0,0.0,18.64,18.64,18.64,0.0,0.0,18.25,18.25,18.25,0.0,0.0,18.25,18.25,18.25,0.0,0.0
2018-02-04,17.6,17.6,17.6,0.0,0.0,17.67,17.67,17.67,0.0,0.0,16.98,16.98,16.98,0.0,0.0,17.34,17.34,17.34,0.0,0.0
2018-02-11,17.72,17.72,17.72,0.0,0.0,17.96,17.96,17.96,0.0,0.0,17.6,17.6,17.6,0.0,0.0,17.81,17.81,17.81,0.0,0.0
2018-02-18,17.54,17.54,17.54,0.0,0.0,17.77,17.77,17.77,0.0,0.0,17.54,17.54,17.54,0.0,0.0,17.61,17.61,17.61,0.0,0.0
2018-02-25,17.27,17.27,17.27,0.0,0.0,17.67,17.67,17.67,0.0,0.0,17.25,17.25,17.25,0.0,0.0,17.48,17.48,17.48,0.0,0.0
2018-03-04,17.61,17.61,17.61,0.0,0.0,17.63,17.63,17.63,0.0,0.0,17.47,17.47,17.47,0.0,0.0,17.63,17.63,17.63,0.0,0.0
2018-03-11,17.32,17.32,17.32,0.0,0.0,17.39,17.39,17.39,0.0,0.0,17.24,17.24,17.24,0.0,0.0,17.36,17.36,17.36,0.0,0.0
2018-03-18,17.32,17.32,17.32,0.0,0.0,17.32,17.32,17.32,0.0,0.0,17.04,17.04,17.04,0.0,0.0,17.27,17.27,17.27,0.0,0.0
