Date,JPMorgan Event Driven_etf_Open_average,JPMorgan Event Driven_etf_Open_max,JPMorgan Event Driven_etf_Open_min,JPMorgan Event Driven_etf_Open_volatility,JPMorgan Event Driven_etf_Open_change,JPMorgan Event Driven_etf_High_average,JPMorgan Event Driven_etf_High_max,JPMorgan Event Driven_etf_High_min,JPMorgan Event Driven_etf_High_volatility,JPMorgan Event Driven_etf_High_change,JPMorgan Event Driven_etf_Low_average,JPMorgan Event Driven_etf_Low_max,JPMorgan Event Driven_etf_Low_min,JPMorgan Event Driven_etf_Low_volatility,JPMorgan Event Driven_etf_Low_change,JPMorgan Event Driven_etf_Close_average,JPMorgan Event Driven_etf_Close_max,JPMorgan Event Driven_etf_Close_min,JPMorgan Event Driven_etf_Close_volatility,JPMorgan Event Driven_etf_Close_change
2018-01-14,25.36,25.36,25.36,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.3,25.3,25.3,0.0,0.0,25.31,25.31,25.31,0.0,0.0
2018-01-21,25.28,25.28,25.28,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.29,25.29,25.29,0.0,0.0
2018-01-28,25.06,25.06,25.06,0.0,0.0,25.06,25.06,25.06,0.0,0.0,25.06,25.06,25.06,0.0,0.0,25.06,25.06,25.06,0.0,0.0
2018-02-04,25.14,25.14,25.14,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.13,25.13,25.13,0.0,0.0,25.13,25.13,25.13,0.0,0.0
2018-02-11,25.18,25.18,25.18,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.18,25.18,25.18,0.0,0.0
2018-02-18,25.27,25.27,25.27,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.32,25.32,25.32,0.0,0.0
2018-02-25,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0
2018-03-04,24.91,24.91,24.91,0.0,0.0,24.91,24.91,24.91,0.0,0.0,24.91,24.91,24.91,0.0,0.0,24.91,24.91,24.91,0.0,0.0
2018-03-11,24.85,24.85,24.85,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.84,24.84,24.84,0.0,0.0
2018-03-18,24.58,24.58,24.58,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.58,24.58,24.58,0.0,0.0
2018-03-25,24.57,24.57,24.57,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.56,24.56,24.56,0.0,0.0
2018-04-01,24.55,24.55,24.55,0.0,0.0,24.55,24.55,24.55,0.0,0.0,24.55,24.55,24.55,0.0,0.0,24.55,24.55,24.55,0.0,0.0
2018-04-08,24.82,24.82,24.82,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.82,24.82,24.82,0.0,0.0,24.88,24.88,24.88,0.0,0.0
2018-04-15,25.2,25.2,25.2,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.21,25.21,25.21,0.0,0.0
2018-04-22,24.76,24.76,24.76,0.0,0.0,24.96,24.96,24.96,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.96,24.96,24.96,0.0,0.0
2018-04-29,25.02,25.02,25.02,0.0,0.0,25.02,25.02,25.02,0.0,0.0,25.02,25.02,25.02,0.0,0.0,25.02,25.02,25.02,0.0,0.0
2018-05-06,25.4,25.4,25.4,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.4,25.4,25.4,0.0,0.0
2018-05-13,25.88,25.88,25.88,0.0,0.0,25.89,25.89,25.89,0.0,0.0,25.88,25.88,25.88,0.0,0.0,25.89,25.89,25.89,0.0,0.0
2018-05-20,25.93,25.93,25.93,0.0,0.0,25.96,25.96,25.96,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.96,25.96,25.96,0.0,0.0
2018-05-27,25.92,25.92,25.92,0.0,0.0,25.92,25.92,25.92,0.0,0.0,25.92,25.92,25.92,0.0,0.0,25.92,25.92,25.92,0.0,0.0
2018-06-03,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0
2018-06-10,26.37,26.37,26.37,0.0,0.0,26.37,26.37,26.37,0.0,0.0,26.37,26.37,26.37,0.0,0.0,26.37,26.37,26.37,0.0,0.0
2018-06-17,26.3,26.3,26.3,0.0,0.0,26.37,26.37,26.37,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.37,26.37,26.37,0.0,0.0
2018-06-24,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0
2018-07-01,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0
2018-07-08,26.01,26.01,26.01,0.0,0.0,26.01,26.01,26.01,0.0,0.0,26.01,26.01,26.01,0.0,0.0,26.01,26.01,26.01,0.0,0.0
2018-07-15,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0
2018-07-22,26.09,26.09,26.09,0.0,0.0,26.09,26.09,26.09,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.08,26.08,26.08,0.0,0.0
2018-07-29,26.06,26.06,26.06,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.06,26.06,26.06,0.0,0.0,26.08,26.08,26.08,0.0,0.0
2018-08-05,26.08,26.08,26.08,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.08,26.08,26.08,0.0,0.0
2018-08-12,26.26,26.26,26.26,0.0,0.0,26.28,26.28,26.28,0.0,0.0,26.25,26.25,26.25,0.0,0.0,26.25,26.25,26.25,0.0,0.0
2018-08-19,26.53,26.53,26.53,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.49,26.49,26.49,0.0,0.0,26.51,26.51,26.51,0.0,0.0
2018-08-26,26.51,26.51,26.51,0.0,0.0,26.51,26.51,26.51,0.0,0.0,26.49,26.49,26.49,0.0,0.0,26.49,26.49,26.49,0.0,0.0
2018-09-02,26.21,26.21,26.21,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.32,26.32,26.32,0.0,0.0
2018-09-09,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0
2018-09-16,26.5,26.5,26.5,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.5,26.5,26.5,0.0,0.0
2018-09-23,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0
2018-09-30,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0
2018-10-07,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,0.0,0.0
2018-10-14,25.67,25.67,25.67,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.67,25.67,25.67,0.0,0.0
2018-10-21,24.78,24.78,24.78,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.78,24.78,24.78,0.0,0.0,24.84,24.84,24.84,0.0,0.0
2018-10-28,25.13,25.13,25.13,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.13,25.13,25.13,0.0,0.0,25.14,25.14,25.14,0.0,0.0
2018-11-04,25.42,25.42,25.42,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.42,25.42,25.42,0.0,0.0
