Date,VanEck Vectors AMT-Free Long Municipal_Open_average,VanEck Vectors AMT-Free Long Municipal_Open_max,VanEck Vectors AMT-Free Long Municipal_Open_min,VanEck Vectors AMT-Free Long Municipal_Open_volatility,VanEck Vectors AMT-Free Long Municipal_Open_change,VanEck Vectors AMT-Free Long Municipal_High_average,VanEck Vectors AMT-Free Long Municipal_High_max,VanEck Vectors AMT-Free Long Municipal_High_min,VanEck Vectors AMT-Free Long Municipal_High_volatility,VanEck Vectors AMT-Free Long Municipal_High_change,VanEck Vectors AMT-Free Long Municipal_Low_average,VanEck Vectors AMT-Free Long Municipal_Low_max,VanEck Vectors AMT-Free Long Municipal_Low_min,VanEck Vectors AMT-Free Long Municipal_Low_volatility,VanEck Vectors AMT-Free Long Municipal_Low_change,VanEck Vectors AMT-Free Long Municipal_Close_average,VanEck Vectors AMT-Free Long Municipal_Close_max,VanEck Vectors AMT-Free Long Municipal_Close_min,VanEck Vectors AMT-Free Long Municipal_Close_volatility,VanEck Vectors AMT-Free Long Municipal_Close_change
2018-01-14,20.08,20.08,20.08,0.0,0.0,20.1,20.1,20.1,0.0,0.0,19.98,19.98,19.98,0.0,0.0,19.99,19.99,19.99,0.0,0.0
2018-01-21,19.93,19.93,19.93,0.0,0.0,19.93,19.93,19.93,0.0,0.0,19.76,19.76,19.76,0.0,0.0,19.76,19.76,19.76,0.0,0.0
2018-01-28,19.69,19.69,19.69,0.0,0.0,19.69,19.69,19.69,0.0,0.0,19.58,19.58,19.58,0.0,0.0,19.66,19.66,19.66,0.0,0.0
2018-02-04,19.7,19.7,19.7,0.0,0.0,19.72,19.72,19.72,0.0,0.0,19.62,19.62,19.62,0.0,0.0,19.72,19.72,19.72,0.0,0.0
2018-02-11,19.68,19.68,19.68,0.0,0.0,19.68,19.68,19.68,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.65,19.65,19.65,0.0,0.0
2018-02-18,19.65,19.65,19.65,0.0,0.0,19.69,19.69,19.69,0.0,0.0,19.56,19.56,19.56,0.0,0.0,19.57,19.57,19.57,0.0,0.0
2018-02-25,19.63,19.63,19.63,0.0,0.0,19.63,19.63,19.63,0.0,0.0,19.51,19.51,19.51,0.0,0.0,19.51,19.51,19.51,0.0,0.0
2018-03-04,19.56,19.56,19.56,0.0,0.0,19.63,19.63,19.63,0.0,0.0,19.55,19.55,19.55,0.0,0.0,19.61,19.61,19.61,0.0,0.0
2018-03-11,19.62,19.62,19.62,0.0,0.0,19.62,19.62,19.62,0.0,0.0,19.53,19.53,19.53,0.0,0.0,19.53,19.53,19.53,0.0,0.0
2018-03-18,19.67,19.67,19.67,0.0,0.0,19.69,19.69,19.69,0.0,0.0,19.6,19.6,19.6,0.0,0.0,19.6,19.6,19.6,0.0,0.0
2018-03-25,19.72,19.72,19.72,0.0,0.0,19.78,19.78,19.78,0.0,0.0,19.71,19.71,19.71,0.0,0.0,19.73,19.73,19.73,0.0,0.0
2018-04-01,19.78,19.78,19.78,0.0,0.0,19.78,19.78,19.78,0.0,0.0,19.72,19.72,19.72,0.0,0.0,19.77,19.77,19.77,0.0,0.0
2018-04-08,19.78,19.78,19.78,0.0,0.0,19.8,19.8,19.8,0.0,0.0,19.75,19.75,19.75,0.0,0.0,19.79,19.79,19.79,0.0,0.0
2018-04-15,19.71,19.71,19.71,0.0,0.0,19.72,19.72,19.72,0.0,0.0,19.66,19.66,19.66,0.0,0.0,19.7,19.7,19.7,0.0,0.0
2018-04-22,19.59,19.59,19.59,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.54,19.54,19.54,0.0,0.0
2018-04-29,19.74,19.74,19.74,0.0,0.0,19.74,19.74,19.74,0.0,0.0,19.67,19.67,19.67,0.0,0.0,19.71,19.71,19.71,0.0,0.0
2018-05-06,19.77,19.77,19.77,0.0,0.0,19.81,19.81,19.81,0.0,0.0,19.76,19.76,19.76,0.0,0.0,19.78,19.78,19.78,0.0,0.0
2018-05-13,19.67,19.67,19.67,0.0,0.0,19.67,19.67,19.67,0.0,0.0,19.62,19.62,19.62,0.0,0.0,19.64,19.64,19.64,0.0,0.0
2018-05-20,19.8,19.8,19.8,0.0,0.0,19.82,19.82,19.82,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.77,19.77,19.77,0.0,0.0
2018-05-27,19.8,19.8,19.8,0.0,0.0,19.83,19.83,19.83,0.0,0.0,19.78,19.78,19.78,0.0,0.0,19.81,19.81,19.81,0.0,0.0
2018-06-03,19.73,19.73,19.73,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.73,19.73,19.73,0.0,0.0,19.76,19.76,19.76,0.0,0.0
2018-06-10,19.75,19.75,19.75,0.0,0.0,19.79,19.79,19.79,0.0,0.0,19.72,19.72,19.72,0.0,0.0,19.73,19.73,19.73,0.0,0.0
2018-06-17,19.83,19.83,19.83,0.0,0.0,19.83,19.83,19.83,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.8,19.8,19.8,0.0,0.0
2018-06-24,19.81,19.81,19.81,0.0,0.0,19.88,19.88,19.88,0.0,0.0,19.8,19.8,19.8,0.0,0.0,19.84,19.84,19.84,0.0,0.0
2018-07-01,19.88,19.88,19.88,0.0,0.0,19.88,19.88,19.88,0.0,0.0,19.82,19.82,19.82,0.0,0.0,19.86,19.86,19.86,0.0,0.0
2018-07-08,19.9,19.9,19.9,0.0,0.0,19.9,19.9,19.9,0.0,0.0,19.83,19.83,19.83,0.0,0.0,19.86,19.86,19.86,0.0,0.0
2018-07-15,19.86,19.86,19.86,0.0,0.0,19.91,19.91,19.91,0.0,0.0,19.81,19.81,19.81,0.0,0.0,19.84,19.84,19.84,0.0,0.0
2018-07-22,19.79,19.79,19.79,0.0,0.0,19.79,19.79,19.79,0.0,0.0,19.73,19.73,19.73,0.0,0.0,19.77,19.77,19.77,0.0,0.0
2018-07-29,19.69,19.69,19.69,0.0,0.0,19.75,19.75,19.75,0.0,0.0,19.69,19.69,19.69,0.0,0.0,19.7,19.7,19.7,0.0,0.0
2018-08-05,19.7,19.7,19.7,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.67,19.67,19.67,0.0,0.0,19.67,19.67,19.67,0.0,0.0
2018-08-12,19.76,19.76,19.76,0.0,0.0,19.76,19.76,19.76,0.0,0.0,19.73,19.73,19.73,0.0,0.0,19.75,19.75,19.75,0.0,0.0
2018-08-19,19.76,19.76,19.76,0.0,0.0,19.79,19.79,19.79,0.0,0.0,19.74,19.74,19.74,0.0,0.0,19.74,19.74,19.74,0.0,0.0
2018-08-26,19.76,19.76,19.76,0.0,0.0,19.76,19.76,19.76,0.0,0.0,19.68,19.68,19.68,0.0,0.0,19.69,19.69,19.69,0.0,0.0
