Date,iShares Short Maturity Bond_etf_Open_average,iShares Short Maturity Bond_etf_Open_max,iShares Short Maturity Bond_etf_Open_min,iShares Short Maturity Bond_etf_Open_volatility,iShares Short Maturity Bond_etf_Open_change,iShares Short Maturity Bond_etf_High_average,iShares Short Maturity Bond_etf_High_max,iShares Short Maturity Bond_etf_High_min,iShares Short Maturity Bond_etf_High_volatility,iShares Short Maturity Bond_etf_High_change,iShares Short Maturity Bond_etf_Low_average,iShares Short Maturity Bond_etf_Low_max,iShares Short Maturity Bond_etf_Low_min,iShares Short Maturity Bond_etf_Low_volatility,iShares Short Maturity Bond_etf_Low_change,iShares Short Maturity Bond_etf_Close_average,iShares Short Maturity Bond_etf_Close_max,iShares Short Maturity Bond_etf_Close_min,iShares Short Maturity Bond_etf_Close_volatility,iShares Short Maturity Bond_etf_Close_change
2018-01-14,50.21,50.21,50.21,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.22,50.22,50.22,0.0,0.0
2018-01-21,50.22,50.22,50.22,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.23,50.23,50.23,0.0,0.0
2018-01-28,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2018-02-04,50.13,50.13,50.13,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2018-02-11,50.17,50.17,50.17,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2018-02-18,50.18,50.18,50.18,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2018-02-25,50.13,50.13,50.13,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2018-03-04,50.11,50.11,50.11,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2018-03-11,50.11,50.11,50.11,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.11,50.11,50.11,0.0,0.0
2018-03-18,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2018-03-25,50.16,50.16,50.16,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2018-04-01,50.05,50.05,50.05,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.08,50.08,50.08,0.0,0.0
2018-04-08,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.11,50.11,50.11,0.0,0.0
2018-04-15,50.13,50.13,50.13,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2018-04-22,50.17,50.17,50.17,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.17,50.17,50.17,0.0,0.0
2018-04-29,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2018-05-06,50.11,50.11,50.11,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2018-05-13,50.16,50.16,50.16,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2018-05-20,50.2,50.2,50.2,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2018-05-27,50.11,50.11,50.11,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.08,50.08,50.08,0.0,0.0
2018-06-03,50.11,50.11,50.11,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.07,50.07,50.07,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2018-06-10,50.1,50.1,50.1,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2018-06-17,50.15,50.15,50.15,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2018-06-24,50.15,50.15,50.15,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.17,50.17,50.17,0.0,0.0
2018-07-01,50.08,50.08,50.08,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2018-07-08,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2018-07-15,50.12,50.12,50.12,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2018-07-22,50.15,50.15,50.15,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2018-07-29,50.09,50.09,50.09,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2018-08-05,50.11,50.11,50.11,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.11,50.11,50.11,0.0,0.0
2018-08-12,50.16,50.16,50.16,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2018-08-19,50.2,50.2,50.2,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2018-08-26,50.22,50.22,50.22,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.23,50.23,50.23,0.0,0.0
2018-09-02,50.14,50.14,50.14,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2018-09-09,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2018-09-16,50.17,50.17,50.17,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2018-09-23,50.18,50.18,50.18,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.19,50.19,50.19,0.0,0.0
2018-09-30,50.1,50.1,50.1,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2018-10-07,50.09,50.09,50.09,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2018-10-14,50.1,50.1,50.1,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.08,50.08,50.08,0.0,0.0
2018-10-21,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.11,50.11,50.11,0.0,0.0
2018-10-28,50.02,50.02,50.02,0.0,0.0,50.03,50.03,50.03,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.01,50.01,50.01,0.0,0.0
2018-11-04,50.03,50.03,50.03,0.0,0.0,50.03,50.03,50.03,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.03,50.03,50.03,0.0,0.0
2018-11-11,50.04,50.04,50.04,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.03,50.03,50.03,0.0,0.0
2018-11-18,50.03,50.03,50.03,0.0,0.0,50.03,50.03,50.03,0.0,0.0,50.01,50.01,50.01,0.0,0.0,50.03,50.03,50.03,0.0,0.0
2018-11-25,50.04,50.04,50.04,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.03,50.03,50.03,0.0,0.0,50.04,50.04,50.04,0.0,0.0
2018-12-02,49.89,49.89,49.89,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.91,49.91,49.91,0.0,0.0
2018-12-09,49.88,49.88,49.88,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.89,49.89,49.89,0.0,0.0
2018-12-16,49.84,49.84,49.84,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.83,49.83,49.83,0.0,0.0
2018-12-23,49.85,49.85,49.85,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.87,49.87,49.87,0.0,0.0
2018-12-30,49.89,49.89,49.89,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.88,49.88,49.88,0.0,0.0
2019-01-06,49.91,49.91,49.91,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.91,49.91,49.91,0.0,0.0
2019-01-13,49.95,49.95,49.95,0.0,0.0,49.98,49.98,49.98,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.98,49.98,49.98,0.0,0.0
2019-01-20,50.05,50.05,50.05,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.03,50.03,50.03,0.0,0.0,50.05,50.05,50.05,0.0,0.0
2019-01-27,50.02,50.02,50.02,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.02,50.02,50.02,0.0,0.0
2019-02-03,50.08,50.08,50.08,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.08,50.08,50.08,0.0,0.0
2019-02-10,50.1,50.1,50.1,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2019-02-17,50.14,50.14,50.14,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2019-02-24,50.07,50.07,50.07,0.0,0.0,50.07,50.07,50.07,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2019-03-03,50.11,50.11,50.11,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2019-03-10,50.14,50.14,50.14,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2019-03-17,50.19,50.19,50.19,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.19,50.19,50.19,0.0,0.0
2019-03-24,50.23,50.23,50.23,0.0,0.0,50.24,50.24,50.24,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.24,50.24,50.24,0.0,0.0
2019-03-31,50.13,50.13,50.13,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.15,50.15,50.15,0.0,0.0
