Date,First Trust Preferred Securities And Income_Open_average,First Trust Preferred Securities And Income_Open_max,First Trust Preferred Securities And Income_Open_min,First Trust Preferred Securities And Income_Open_volatility,First Trust Preferred Securities And Income_Open_change,First Trust Preferred Securities And Income_High_average,First Trust Preferred Securities And Income_High_max,First Trust Preferred Securities And Income_High_min,First Trust Preferred Securities And Income_High_volatility,First Trust Preferred Securities And Income_High_change,First Trust Preferred Securities And Income_Low_average,First Trust Preferred Securities And Income_Low_max,First Trust Preferred Securities And Income_Low_min,First Trust Preferred Securities And Income_Low_volatility,First Trust Preferred Securities And Income_Low_change,First Trust Preferred Securities And Income_Close_average,First Trust Preferred Securities And Income_Close_max,First Trust Preferred Securities And Income_Close_min,First Trust Preferred Securities And Income_Close_volatility,First Trust Preferred Securities And Income_Close_change
2018-05-06,19.31,19.31,19.31,0.0,0.0,19.38,19.38,19.38,0.0,0.0,19.31,19.31,19.31,0.0,0.0,19.38,19.38,19.38,0.0,0.0
2018-05-13,19.35,19.35,19.35,0.0,0.0,19.37,19.37,19.37,0.0,0.0,19.3,19.3,19.3,0.0,0.0,19.36,19.36,19.36,0.0,0.0
2018-05-20,19.25,19.25,19.25,0.0,0.0,19.26,19.26,19.26,0.0,0.0,19.22,19.22,19.22,0.0,0.0,19.24,19.24,19.24,0.0,0.0
2018-05-27,19.12,19.12,19.12,0.0,0.0,19.17,19.17,19.17,0.0,0.0,19.1,19.1,19.1,0.0,0.0,19.13,19.13,19.13,0.0,0.0
2018-06-03,19.27,19.27,19.27,0.0,0.0,19.28,19.28,19.28,0.0,0.0,19.22,19.22,19.22,0.0,0.0,19.27,19.27,19.27,0.0,0.0
2018-06-10,19.28,19.28,19.28,0.0,0.0,19.32,19.32,19.32,0.0,0.0,19.26,19.26,19.26,0.0,0.0,19.32,19.32,19.32,0.0,0.0
2018-06-17,19.13,19.13,19.13,0.0,0.0,19.13,19.13,19.13,0.0,0.0,19.05,19.05,19.05,0.0,0.0,19.07,19.07,19.07,0.0,0.0
2018-06-24,19.02,19.02,19.02,0.0,0.0,19.12,19.12,19.12,0.0,0.0,19.01,19.01,19.01,0.0,0.0,19.06,19.06,19.06,0.0,0.0
2018-07-01,19.11,19.11,19.11,0.0,0.0,19.19,19.19,19.19,0.0,0.0,19.11,19.11,19.11,0.0,0.0,19.18,19.18,19.18,0.0,0.0
2018-07-08,19.2,19.2,19.2,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.18,19.18,19.18,0.0,0.0,19.23,19.23,19.23,0.0,0.0
2018-07-15,19.11,19.11,19.11,0.0,0.0,19.14,19.14,19.14,0.0,0.0,19.08,19.08,19.08,0.0,0.0,19.12,19.12,19.12,0.0,0.0
2018-07-22,19.21,19.21,19.21,0.0,0.0,19.21,19.21,19.21,0.0,0.0,19.14,19.14,19.14,0.0,0.0,19.14,19.14,19.14,0.0,0.0
2018-07-29,19.24,19.24,19.24,0.0,0.0,19.24,19.24,19.24,0.0,0.0,19.2,19.2,19.2,0.0,0.0,19.24,19.24,19.24,0.0,0.0
2018-08-05,19.27,19.27,19.27,0.0,0.0,19.27,19.27,19.27,0.0,0.0,19.21,19.21,19.21,0.0,0.0,19.23,19.23,19.23,0.0,0.0
2018-08-12,19.23,19.23,19.23,0.0,0.0,19.26,19.26,19.26,0.0,0.0,19.2,19.2,19.2,0.0,0.0,19.26,19.26,19.26,0.0,0.0
2018-08-19,19.21,19.21,19.21,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.18,19.18,19.18,0.0,0.0,19.23,19.23,19.23,0.0,0.0
2018-08-26,19.27,19.27,19.27,0.0,0.0,19.3,19.3,19.3,0.0,0.0,19.25,19.25,19.25,0.0,0.0,19.3,19.3,19.3,0.0,0.0
2018-09-02,19.21,19.21,19.21,0.0,0.0,19.24,19.24,19.24,0.0,0.0,19.17,19.17,19.17,0.0,0.0,19.18,19.18,19.18,0.0,0.0
2018-09-09,19.13,19.13,19.13,0.0,0.0,19.13,19.13,19.13,0.0,0.0,19.08,19.08,19.08,0.0,0.0,19.11,19.11,19.11,0.0,0.0
2018-09-16,19.11,19.11,19.11,0.0,0.0,19.15,19.15,19.15,0.0,0.0,19.1,19.1,19.1,0.0,0.0,19.14,19.14,19.14,0.0,0.0
2018-09-23,19.13,19.13,19.13,0.0,0.0,19.14,19.14,19.14,0.0,0.0,19.08,19.08,19.08,0.0,0.0,19.1,19.1,19.1,0.0,0.0
2018-09-30,18.95,18.95,18.95,0.0,0.0,18.96,18.96,18.96,0.0,0.0,18.89,18.89,18.89,0.0,0.0,18.96,18.96,18.96,0.0,0.0
2018-10-07,18.81,18.81,18.81,0.0,0.0,18.89,18.89,18.89,0.0,0.0,18.81,18.81,18.81,0.0,0.0,18.85,18.85,18.85,0.0,0.0
2018-10-14,18.85,18.85,18.85,0.0,0.0,18.9,18.9,18.9,0.0,0.0,18.81,18.81,18.81,0.0,0.0,18.83,18.83,18.83,0.0,0.0
2018-10-21,18.71,18.71,18.71,0.0,0.0,18.77,18.77,18.77,0.0,0.0,18.7,18.7,18.7,0.0,0.0,18.72,18.72,18.72,0.0,0.0
2018-10-28,18.76,18.76,18.76,0.0,0.0,18.83,18.83,18.83,0.0,0.0,18.76,18.76,18.76,0.0,0.0,18.8,18.8,18.8,0.0,0.0
2018-11-04,18.86,18.86,18.86,0.0,0.0,18.87,18.87,18.87,0.0,0.0,18.82,18.82,18.82,0.0,0.0,18.85,18.85,18.85,0.0,0.0
2018-11-11,18.64,18.64,18.64,0.0,0.0,18.68,18.68,18.68,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.63,18.63,18.63,0.0,0.0
2018-11-18,18.37,18.37,18.37,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.37,18.37,18.37,0.0,0.0,18.44,18.44,18.44,0.0,0.0
2018-11-25,18.34,18.34,18.34,0.0,0.0,18.41,18.41,18.41,0.0,0.0,18.32,18.32,18.32,0.0,0.0,18.34,18.34,18.34,0.0,0.0
2018-12-02,18.23,18.23,18.23,0.0,0.0,18.28,18.28,18.28,0.0,0.0,18.15,18.15,18.15,0.0,0.0,18.15,18.15,18.15,0.0,0.0
2018-12-09,18.17,18.17,18.17,0.0,0.0,18.27,18.27,18.27,0.0,0.0,18.17,18.17,18.17,0.0,0.0,18.24,18.24,18.24,0.0,0.0
2018-12-16,17.89,17.89,17.89,0.0,0.0,17.97,17.97,17.97,0.0,0.0,17.81,17.81,17.81,0.0,0.0,17.95,17.95,17.95,0.0,0.0
2018-12-23,17.84,17.84,17.84,0.0,0.0,17.93,17.93,17.93,0.0,0.0,17.82,17.82,17.82,0.0,0.0,17.84,17.84,17.84,0.0,0.0
2018-12-30,18.06,18.06,18.06,0.0,0.0,18.1,18.1,18.1,0.0,0.0,18.04,18.04,18.04,0.0,0.0,18.1,18.1,18.1,0.0,0.0
2019-01-06,18.38,18.38,18.38,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.36,18.36,18.36,0.0,0.0,18.41,18.41,18.41,0.0,0.0
2019-01-13,18.49,18.49,18.49,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.49,18.49,18.49,0.0,0.0,18.57,18.57,18.57,0.0,0.0
2019-01-20,18.48,18.48,18.48,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.48,18.48,18.48,0.0,0.0,18.52,18.52,18.52,0.0,0.0
2019-01-27,18.73,18.73,18.73,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.66,18.66,18.66,0.0,0.0,18.7,18.7,18.7,0.0,0.0
2019-02-03,18.69,18.69,18.69,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.67,18.67,18.67,0.0,0.0,18.71,18.71,18.71,0.0,0.0
2019-02-10,18.83,18.83,18.83,0.0,0.0,18.85,18.85,18.85,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.84,18.84,18.84,0.0,0.0
2019-02-17,18.8,18.8,18.8,0.0,0.0,18.84,18.84,18.84,0.0,0.0,18.79,18.79,18.79,0.0,0.0,18.82,18.82,18.82,0.0,0.0
2019-02-24,18.91,18.91,18.91,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.89,18.89,18.89,0.0,0.0,18.93,18.93,18.93,0.0,0.0
2019-03-03,18.88,18.88,18.88,0.0,0.0,18.94,18.94,18.94,0.0,0.0,18.87,18.87,18.87,0.0,0.0,18.93,18.93,18.93,0.0,0.0
2019-03-10,19.06,19.06,19.06,0.0,0.0,19.08,19.08,19.08,0.0,0.0,19.04,19.04,19.04,0.0,0.0,19.07,19.07,19.07,0.0,0.0
2019-03-17,18.93,18.93,18.93,0.0,0.0,18.97,18.97,18.97,0.0,0.0,18.93,18.93,18.93,0.0,0.0,18.97,18.97,18.97,0.0,0.0
2019-03-24,19.01,19.01,19.01,0.0,0.0,19.06,19.06,19.06,0.0,0.0,18.99,18.99,18.99,0.0,0.0,19.06,19.06,19.06,0.0,0.0
2019-03-31,19.15,19.15,19.15,0.0,0.0,19.17,19.17,19.17,0.0,0.0,19.12,19.12,19.12,0.0,0.0,19.14,19.14,19.14,0.0,0.0
2019-04-07,19.22,19.22,19.22,0.0,0.0,19.24,19.24,19.24,0.0,0.0,19.21,19.21,19.21,0.0,0.0,19.23,19.23,19.23,0.0,0.0
2019-04-14,19.27,19.27,19.27,0.0,0.0,19.29,19.29,19.29,0.0,0.0,19.25,19.25,19.25,0.0,0.0,19.27,19.27,19.27,0.0,0.0
2019-04-21,19.19,19.19,19.19,0.0,0.0,19.22,19.22,19.22,0.0,0.0,19.19,19.19,19.19,0.0,0.0,19.21,19.21,19.21,0.0,0.0
2019-04-28,19.28,19.28,19.28,0.0,0.0,19.31,19.31,19.31,0.0,0.0,19.28,19.28,19.28,0.0,0.0,19.29,19.29,19.29,0.0,0.0
2019-05-05,19.18,19.18,19.18,0.0,0.0,19.2,19.2,19.2,0.0,0.0,19.14,19.14,19.14,0.0,0.0,19.18,19.18,19.18,0.0,0.0
2019-05-12,19.22,19.22,19.22,0.0,0.0,19.29,19.29,19.29,0.0,0.0,19.22,19.22,19.22,0.0,0.0,19.24,19.24,19.24,0.0,0.0
2019-05-19,19.09,19.09,19.09,0.0,0.0,19.11,19.11,19.11,0.0,0.0,19.06,19.06,19.06,0.0,0.0,19.1,19.1,19.1,0.0,0.0
2019-05-26,19.12,19.12,19.12,0.0,0.0,19.16,19.16,19.16,0.0,0.0,19.08,19.08,19.08,0.0,0.0,19.13,19.13,19.13,0.0,0.0
2019-06-02,19.24,19.24,19.24,0.0,0.0,19.28,19.28,19.28,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.27,19.27,19.27,0.0,0.0
2019-06-09,19.17,19.17,19.17,0.0,0.0,19.2,19.2,19.2,0.0,0.0,19.16,19.16,19.16,0.0,0.0,19.19,19.19,19.19,0.0,0.0
2019-06-16,19.37,19.37,19.37,0.0,0.0,19.39,19.39,19.39,0.0,0.0,19.35,19.35,19.35,0.0,0.0,19.36,19.36,19.36,0.0,0.0
2019-06-23,19.36,19.36,19.36,0.0,0.0,19.4,19.4,19.4,0.0,0.0,19.35,19.35,19.35,0.0,0.0,19.39,19.39,19.39,0.0,0.0
2019-06-30,19.47,19.47,19.47,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.46,19.46,19.46,0.0,0.0,19.5,19.5,19.5,0.0,0.0
2019-07-07,19.54,19.54,19.54,0.0,0.0,19.56,19.56,19.56,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.56,19.56,19.56,0.0,0.0
2019-07-14,19.6,19.6,19.6,0.0,0.0,19.63,19.63,19.63,0.0,0.0,19.58,19.58,19.58,0.0,0.0,19.6,19.6,19.6,0.0,0.0
2019-07-21,19.61,19.61,19.61,0.0,0.0,19.64,19.64,19.64,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.62,19.62,19.62,0.0,0.0
2019-07-28,19.62,19.62,19.62,0.0,0.0,19.62,19.62,19.62,0.0,0.0,19.54,19.54,19.54,0.0,0.0,19.61,19.61,19.61,0.0,0.0
2019-08-04,19.54,19.54,19.54,0.0,0.0,19.57,19.57,19.57,0.0,0.0,19.54,19.54,19.54,0.0,0.0,19.56,19.56,19.56,0.0,0.0
2019-08-11,19.53,19.53,19.53,0.0,0.0,19.58,19.58,19.58,0.0,0.0,19.49,19.49,19.49,0.0,0.0,19.54,19.54,19.54,0.0,0.0
2019-08-18,19.53,19.53,19.53,0.0,0.0,19.57,19.57,19.57,0.0,0.0,19.51,19.51,19.51,0.0,0.0,19.54,19.54,19.54,0.0,0.0
2019-08-25,19.65,19.65,19.65,0.0,0.0,19.65,19.65,19.65,0.0,0.0,19.6,19.6,19.6,0.0,0.0,19.64,19.64,19.64,0.0,0.0
2019-09-01,19.72,19.72,19.72,0.0,0.0,19.74,19.74,19.74,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.73,19.73,19.73,0.0,0.0
2019-09-08,19.74,19.74,19.74,0.0,0.0,19.75,19.75,19.75,0.0,0.0,19.67,19.67,19.67,0.0,0.0,19.72,19.72,19.72,0.0,0.0
2019-09-15,19.78,19.78,19.78,0.0,0.0,19.85,19.85,19.85,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.84,19.84,19.84,0.0,0.0
2019-09-22,19.73,19.73,19.73,0.0,0.0,19.75,19.75,19.75,0.0,0.0,19.72,19.72,19.72,0.0,0.0,19.74,19.74,19.74,0.0,0.0
2019-09-29,19.7,19.7,19.7,0.0,0.0,19.76,19.76,19.76,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.75,19.75,19.75,0.0,0.0
2019-10-06,19.79,19.79,19.79,0.0,0.0,19.81,19.81,19.81,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.81,19.81,19.81,0.0,0.0
2019-10-13,19.92,19.92,19.92,0.0,0.0,19.92,19.92,19.92,0.0,0.0,19.91,19.91,19.91,0.0,0.0,19.91,19.91,19.91,0.0,0.0
2019-10-20,19.91,19.91,19.91,0.0,0.0,19.92,19.92,19.92,0.0,0.0,19.91,19.91,19.91,0.0,0.0,19.91,19.91,19.91,0.0,0.0
2019-10-27,19.91,19.91,19.91,0.0,0.0,19.94,19.94,19.94,0.0,0.0,19.89,19.89,19.89,0.0,0.0,19.91,19.91,19.91,0.0,0.0
2019-11-03,19.9,19.9,19.9,0.0,0.0,19.94,19.94,19.94,0.0,0.0,19.89,19.89,19.89,0.0,0.0,19.93,19.93,19.93,0.0,0.0
2019-11-10,19.94,19.94,19.94,0.0,0.0,19.95,19.95,19.95,0.0,0.0,19.93,19.93,19.93,0.0,0.0,19.93,19.93,19.93,0.0,0.0
2019-11-17,19.84,19.84,19.84,0.0,0.0,19.88,19.88,19.88,0.0,0.0,19.84,19.84,19.84,0.0,0.0,19.87,19.87,19.87,0.0,0.0
2019-11-24,19.88,19.88,19.88,0.0,0.0,19.92,19.92,19.92,0.0,0.0,19.87,19.87,19.87,0.0,0.0,19.88,19.88,19.88,0.0,0.0
2019-12-01,19.87,19.87,19.87,0.0,0.0,19.9,19.9,19.9,0.0,0.0,19.87,19.87,19.87,0.0,0.0,19.9,19.9,19.9,0.0,0.0
2019-12-08,19.87,19.87,19.87,0.0,0.0,19.91,19.91,19.91,0.0,0.0,19.85,19.85,19.85,0.0,0.0,19.91,19.91,19.91,0.0,0.0
2019-12-15,19.99,19.99,19.99,0.0,0.0,20.01,20.01,20.01,0.0,0.0,19.98,19.98,19.98,0.0,0.0,20.0,20.0,20.0,0.0,0.0
2019-12-22,20.05,20.05,20.05,0.0,0.0,20.05,20.05,20.05,0.0,0.0,20.02,20.02,20.02,0.0,0.0,20.05,20.05,20.05,0.0,0.0
2019-12-29,20.12,20.12,20.12,0.0,0.0,20.16,20.16,20.16,0.0,0.0,20.11,20.11,20.11,0.0,0.0,20.14,20.14,20.14,0.0,0.0
