Date,TAPa_Open_average,TAPa_Open_max,TAPa_Open_min,TAPa_Open_volatility,TAPa_Open_change,TAPa_High_average,TAPa_High_max,TAPa_High_min,TAPa_High_volatility,TAPa_High_change,TAPa_Low_average,TAPa_Low_max,TAPa_Low_min,TAPa_Low_volatility,TAPa_Low_change,TAPa_Close_average,TAPa_Close_max,TAPa_Close_min,TAPa_Close_volatility,TAPa_Close_change,TAPa_Volume_average,TAPa_Volume_max,TAPa_Volume_min,TAPa_Volume_volatility,TAPa_Volume_change
2018-01-14,87.5,88.0,87.0,1.0,1.0,87.5,88.0,87.0,1.0,1.0,87.5,88.0,87.0,1.0,1.0,87.5,88.0,87.0,1.0,1.0,307,406,208,198,-198
2018-01-21,87.0,87.0,87.0,0.0,0.0,87.0,87.0,87.0,0.0,0.0,87.0,87.0,87.0,0.0,0.0,87.0,87.0,87.0,0.0,0.0,162,162,162,0,0
2018-01-28,87.5,88.0,87.0,1.0,-1.0,87.5,88.0,87.0,1.0,-1.0,87.5,88.0,87.0,1.0,-1.0,87.5,88.0,87.0,1.0,-1.0,209,235,184,51,51
2018-02-04,81.5,82.0,81.0,1.0,-1.0,81.5,82.0,81.0,1.0,-1.0,80.435,80.84,80.03,0.8100000000000023,0.8100000000000023,81.5,82.0,81.0,1.0,-1.0,956,1565,348,1217,-1217
2018-02-11,84.5,85.5,83.5,2.0,-2.0,85.35,85.5,85.2,0.29999999999999716,-0.29999999999999716,83.125,83.5,82.75,0.75,0.75,83.975,85.2,82.75,2.450000000000003,2.450000000000003,408,538,279,259,259
2018-02-18,80.55,81.5,78.9,2.5999999999999943,2.5999999999999943,80.55,81.5,78.9,2.5999999999999943,2.5999999999999943,80.55,81.5,78.9,2.5999999999999943,2.5999999999999943,80.55,81.5,78.9,2.5999999999999943,2.5999999999999943,237,455,100,355,-299
2018-02-25,79.5,79.5,79.5,0.0,0.0,79.5,79.5,79.5,0.0,0.0,79.5,79.5,79.5,0.0,0.0,79.5,79.5,79.5,0.0,0.0,100,100,100,0,0
2018-03-04,81.51,81.51,81.51,0.0,0.0,81.51,81.51,81.51,0.0,0.0,81.51,81.51,81.51,0.0,0.0,81.51,81.51,81.51,0.0,0.0,138,138,138,0,0
2018-03-11,83.5,84.5,82.5,2.0,-2.0,83.525,84.55,82.5,2.049999999999997,-2.049999999999997,82.25,82.5,82.0,0.5,0.5,82.25,82.5,82.0,0.5,0.5,521,812,231,581,-581
2018-03-18,80.22,80.22,80.22,0.0,0.0,80.22,80.22,80.22,0.0,0.0,80.22,80.22,80.22,0.0,0.0,80.22,80.22,80.22,0.0,0.0,120,120,120,0,0
2018-03-25,82.0,82.0,82.0,0.0,0.0,82.0,82.0,82.0,0.0,0.0,80.0,80.0,80.0,0.0,0.0,80.0,80.0,80.0,0.0,0.0,200,200,200,0,0
