Date,iShares Adapt Cur Hdg MSCI EAFE_etf_Open_average,iShares Adapt Cur Hdg MSCI EAFE_etf_Open_max,iShares Adapt Cur Hdg MSCI EAFE_etf_Open_min,iShares Adapt Cur Hdg MSCI EAFE_etf_Open_volatility,iShares Adapt Cur Hdg MSCI EAFE_etf_Open_change,iShares Adapt Cur Hdg MSCI EAFE_etf_High_average,iShares Adapt Cur Hdg MSCI EAFE_etf_High_max,iShares Adapt Cur Hdg MSCI EAFE_etf_High_min,iShares Adapt Cur Hdg MSCI EAFE_etf_High_volatility,iShares Adapt Cur Hdg MSCI EAFE_etf_High_change,iShares Adapt Cur Hdg MSCI EAFE_etf_Low_average,iShares Adapt Cur Hdg MSCI EAFE_etf_Low_max,iShares Adapt Cur Hdg MSCI EAFE_etf_Low_min,iShares Adapt Cur Hdg MSCI EAFE_etf_Low_volatility,iShares Adapt Cur Hdg MSCI EAFE_etf_Low_change,iShares Adapt Cur Hdg MSCI EAFE_etf_Close_average,iShares Adapt Cur Hdg MSCI EAFE_etf_Close_max,iShares Adapt Cur Hdg MSCI EAFE_etf_Close_min,iShares Adapt Cur Hdg MSCI EAFE_etf_Close_volatility,iShares Adapt Cur Hdg MSCI EAFE_etf_Close_change
2018-01-14,30.16,30.16,30.16,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2018-01-21,30.45,30.45,30.45,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2018-01-28,30.45,30.45,30.45,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2018-02-04,28.05,28.05,28.05,0.0,0.0,28.05,28.05,28.05,0.0,0.0,28.05,28.05,28.05,0.0,0.0,28.05,28.05,28.05,0.0,0.0
2018-02-11,28.9,28.9,28.9,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2018-02-18,28.84,28.84,28.84,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.84,28.84,28.84,0.0,0.0
2018-02-25,28.99,28.99,28.99,0.0,0.0,28.99,28.99,28.99,0.0,0.0,28.99,28.99,28.99,0.0,0.0,28.99,28.99,28.99,0.0,0.0
2018-03-04,28.39,28.39,28.39,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.39,28.39,28.39,0.0,0.0
2018-03-11,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0
2018-03-18,27.82,27.82,27.82,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.82,27.82,27.82,0.0,0.0
