Date,First Trust Tactical High YieldEtf_Open_average,First Trust Tactical High YieldEtf_Open_max,First Trust Tactical High YieldEtf_Open_min,First Trust Tactical High YieldEtf_Open_volatility,First Trust Tactical High YieldEtf_Open_change,First Trust Tactical High YieldEtf_High_average,First Trust Tactical High YieldEtf_High_max,First Trust Tactical High YieldEtf_High_min,First Trust Tactical High YieldEtf_High_volatility,First Trust Tactical High YieldEtf_High_change,First Trust Tactical High YieldEtf_Low_average,First Trust Tactical High YieldEtf_Low_max,First Trust Tactical High YieldEtf_Low_min,First Trust Tactical High YieldEtf_Low_volatility,First Trust Tactical High YieldEtf_Low_change,First Trust Tactical High YieldEtf_Close_average,First Trust Tactical High YieldEtf_Close_max,First Trust Tactical High YieldEtf_Close_min,First Trust Tactical High YieldEtf_Close_volatility,First Trust Tactical High YieldEtf_Close_change
2018-01-14,48.78,48.78,48.78,0.0,0.0,48.96,48.96,48.96,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.74,48.74,48.74,0.0,0.0
2018-01-21,48.81,48.81,48.81,0.0,0.0,48.81,48.81,48.81,0.0,0.0,48.58,48.58,48.58,0.0,0.0,48.69,48.69,48.69,0.0,0.0
2018-01-28,48.37,48.37,48.37,0.0,0.0,48.41,48.41,48.41,0.0,0.0,48.16,48.16,48.16,0.0,0.0,48.24,48.24,48.24,0.0,0.0
2018-02-04,48.0,48.0,48.0,0.0,0.0,48.05,48.05,48.05,0.0,0.0,47.63,47.63,47.63,0.0,0.0,47.94,47.94,47.94,0.0,0.0
2018-02-11,48.2,48.2,48.2,0.0,0.0,48.33,48.33,48.33,0.0,0.0,48.16,48.16,48.16,0.0,0.0,48.3,48.3,48.3,0.0,0.0
2018-02-18,47.87,47.87,47.87,0.0,0.0,48.02,48.02,48.02,0.0,0.0,47.84,47.84,47.84,0.0,0.0,48.02,48.02,48.02,0.0,0.0
2018-02-25,48.06,48.06,48.06,0.0,0.0,48.06,48.06,48.06,0.0,0.0,47.79,47.79,47.79,0.0,0.0,48.0,48.0,48.0,0.0,0.0
2018-03-04,47.96,47.96,47.96,0.0,0.0,48.09,48.09,48.09,0.0,0.0,47.96,47.96,47.96,0.0,0.0,48.03,48.03,48.03,0.0,0.0
2018-03-11,47.88,47.88,47.88,0.0,0.0,47.99,47.99,47.99,0.0,0.0,47.82,47.82,47.82,0.0,0.0,47.92,47.92,47.92,0.0,0.0
2018-03-18,47.57,47.57,47.57,0.0,0.0,47.57,47.57,47.57,0.0,0.0,47.28,47.28,47.28,0.0,0.0,47.32,47.32,47.32,0.0,0.0
