Date,iShares Exponential TechnologiesEtf_Open_average,iShares Exponential TechnologiesEtf_Open_max,iShares Exponential TechnologiesEtf_Open_min,iShares Exponential TechnologiesEtf_Open_volatility,iShares Exponential TechnologiesEtf_Open_change,iShares Exponential TechnologiesEtf_High_average,iShares Exponential TechnologiesEtf_High_max,iShares Exponential TechnologiesEtf_High_min,iShares Exponential TechnologiesEtf_High_volatility,iShares Exponential TechnologiesEtf_High_change,iShares Exponential TechnologiesEtf_Low_average,iShares Exponential TechnologiesEtf_Low_max,iShares Exponential TechnologiesEtf_Low_min,iShares Exponential TechnologiesEtf_Low_volatility,iShares Exponential TechnologiesEtf_Low_change,iShares Exponential TechnologiesEtf_Close_average,iShares Exponential TechnologiesEtf_Close_max,iShares Exponential TechnologiesEtf_Close_min,iShares Exponential TechnologiesEtf_Close_volatility,iShares Exponential TechnologiesEtf_Close_change
2018-01-14,37.5,37.5,37.5,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.41,37.41,37.41,0.0,0.0,37.51,37.51,37.51,0.0,0.0
2018-01-21,38.22,38.22,38.22,0.0,0.0,38.52,38.52,38.52,0.0,0.0,38.18,38.18,38.18,0.0,0.0,38.52,38.52,38.52,0.0,0.0
2018-01-28,37.61,37.61,37.61,0.0,0.0,37.61,37.61,37.61,0.0,0.0,37.07,37.07,37.07,0.0,0.0,37.12,37.12,37.12,0.0,0.0
2018-02-04,35.23,35.23,35.23,0.0,0.0,35.45,35.45,35.45,0.0,0.0,34.14,34.14,34.14,0.0,0.0,35.23,35.23,35.23,0.0,0.0
2018-02-11,37.0,37.0,37.0,0.0,0.0,37.25,37.25,37.25,0.0,0.0,36.91,36.91,36.91,0.0,0.0,36.96,36.96,36.96,0.0,0.0
2018-02-18,36.88,36.88,36.88,0.0,0.0,37.23,37.23,37.23,0.0,0.0,36.8,36.8,36.8,0.0,0.0,37.23,37.23,37.23,0.0,0.0
2018-02-25,36.15,36.15,36.15,0.0,0.0,36.72,36.72,36.72,0.0,0.0,36.03,36.03,36.03,0.0,0.0,36.69,36.69,36.69,0.0,0.0
2018-03-04,37.85,37.85,37.85,0.0,0.0,38.17,38.17,38.17,0.0,0.0,37.79,37.79,37.79,0.0,0.0,38.14,38.14,38.14,0.0,0.0
2018-03-11,37.9,37.9,37.9,0.0,0.0,38.0,38.0,38.0,0.0,0.0,37.85,37.85,37.85,0.0,0.0,37.87,37.87,37.87,0.0,0.0
2018-03-18,36.72,36.72,36.72,0.0,0.0,36.73,36.73,36.73,0.0,0.0,35.87,35.87,35.87,0.0,0.0,35.87,35.87,35.87,0.0,0.0
2018-03-25,36.14,36.14,36.14,0.0,0.0,36.6,36.6,36.6,0.0,0.0,35.98,35.98,35.98,0.0,0.0,36.38,36.38,36.38,0.0,0.0
2018-04-01,35.99,35.99,35.99,0.0,0.0,36.21,36.21,36.21,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.62,35.62,35.62,0.0,0.0
2018-04-08,36.84,36.84,36.84,0.0,0.0,36.84,36.84,36.84,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.54,36.54,36.54,0.0,0.0
2018-04-15,36.78,36.78,36.78,0.0,0.0,36.78,36.78,36.78,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.55,36.55,36.55,0.0,0.0
2018-04-22,36.41,36.41,36.41,0.0,0.0,36.47,36.47,36.47,0.0,0.0,36.22,36.22,36.22,0.0,0.0,36.35,36.35,36.35,0.0,0.0
2018-04-29,35.71,35.71,35.71,0.0,0.0,36.31,36.31,36.31,0.0,0.0,35.7,35.7,35.7,0.0,0.0,36.18,36.18,36.18,0.0,0.0
2018-05-06,36.98,36.98,36.98,0.0,0.0,37.12,37.12,37.12,0.0,0.0,36.91,36.91,36.91,0.0,0.0,37.06,37.06,37.06,0.0,0.0
2018-05-13,36.8,36.8,36.8,0.0,0.0,36.92,36.92,36.92,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.84,36.84,36.84,0.0,0.0
2018-05-20,36.93,36.93,36.93,0.0,0.0,37.02,37.02,37.02,0.0,0.0,36.91,36.91,36.91,0.0,0.0,36.93,36.93,36.93,0.0,0.0
2018-05-27,36.92,36.92,36.92,0.0,0.0,37.15,37.15,37.15,0.0,0.0,36.88,36.88,36.88,0.0,0.0,37.15,37.15,37.15,0.0,0.0
2018-06-03,37.46,37.46,37.46,0.0,0.0,37.64,37.64,37.64,0.0,0.0,37.36,37.36,37.36,0.0,0.0,37.59,37.59,37.59,0.0,0.0
2018-06-10,37.73,37.73,37.73,0.0,0.0,37.84,37.84,37.84,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.84,37.84,37.84,0.0,0.0
2018-06-17,37.17,37.17,37.17,0.0,0.0,37.17,37.17,37.17,0.0,0.0,36.85,36.85,36.85,0.0,0.0,36.9,36.9,36.9,0.0,0.0
2018-06-24,36.16,36.16,36.16,0.0,0.0,36.47,36.47,36.47,0.0,0.0,36.16,36.16,36.16,0.0,0.0,36.23,36.23,36.23,0.0,0.0
2018-07-01,36.65,36.65,36.65,0.0,0.0,37.05,37.05,37.05,0.0,0.0,36.63,36.63,36.63,0.0,0.0,37.01,37.01,37.01,0.0,0.0
2018-07-08,37.53,37.53,37.53,0.0,0.0,37.61,37.61,37.61,0.0,0.0,37.45,37.45,37.45,0.0,0.0,37.56,37.56,37.56,0.0,0.0
2018-07-15,37.67,37.67,37.67,0.0,0.0,37.85,37.85,37.85,0.0,0.0,37.63,37.63,37.63,0.0,0.0,37.72,37.72,37.72,0.0,0.0
2018-07-22,38.23,38.23,38.23,0.0,0.0,38.23,38.23,38.23,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.89,37.89,37.89,0.0,0.0
2018-07-29,37.99,37.99,37.99,0.0,0.0,37.99,37.99,37.99,0.0,0.0,37.81,37.81,37.81,0.0,0.0,37.95,37.95,37.95,0.0,0.0
2018-08-05,37.96,37.96,37.96,0.0,0.0,37.96,37.96,37.96,0.0,0.0,37.64,37.64,37.64,0.0,0.0,37.72,37.72,37.72,0.0,0.0
2018-08-12,37.3,37.3,37.3,0.0,0.0,37.62,37.62,37.62,0.0,0.0,37.3,37.3,37.3,0.0,0.0,37.56,37.56,37.56,0.0,0.0
2018-08-19,38.17,38.17,38.17,0.0,0.0,38.42,38.42,38.42,0.0,0.0,38.17,38.17,38.17,0.0,0.0,38.4,38.4,38.4,0.0,0.0
2018-08-26,38.67,38.67,38.67,0.0,0.0,38.85,38.85,38.85,0.0,0.0,38.65,38.65,38.65,0.0,0.0,38.77,38.77,38.77,0.0,0.0
2018-09-02,37.87,37.87,37.87,0.0,0.0,38.15,38.15,38.15,0.0,0.0,37.81,37.81,37.81,0.0,0.0,37.94,37.94,37.94,0.0,0.0
2018-09-09,38.57,38.57,38.57,0.0,0.0,38.65,38.65,38.65,0.0,0.0,38.44,38.44,38.44,0.0,0.0,38.52,38.52,38.52,0.0,0.0
2018-09-16,38.99,38.99,38.99,0.0,0.0,39.0,39.0,39.0,0.0,0.0,38.81,38.81,38.81,0.0,0.0,38.85,38.85,38.85,0.0,0.0
2018-09-23,38.74,38.74,38.74,0.0,0.0,38.91,38.91,38.91,0.0,0.0,38.7,38.7,38.7,0.0,0.0,38.72,38.72,38.72,0.0,0.0
2018-09-30,38.07,38.07,38.07,0.0,0.0,38.18,38.18,38.18,0.0,0.0,37.52,37.52,37.52,0.0,0.0,37.8,37.8,37.8,0.0,0.0
2018-10-07,36.36,36.36,36.36,0.0,0.0,36.36,36.36,36.36,0.0,0.0,35.82,35.82,35.82,0.0,0.0,36.29,36.29,36.29,0.0,0.0
2018-10-14,36.5,36.5,36.5,0.0,0.0,36.75,36.75,36.75,0.0,0.0,36.14,36.14,36.14,0.0,0.0,36.21,36.21,36.21,0.0,0.0
2018-10-21,34.33,34.33,34.33,0.0,0.0,34.76,34.76,34.76,0.0,0.0,33.88,33.88,33.88,0.0,0.0,34.36,34.36,34.36,0.0,0.0
2018-10-28,36.09,36.09,36.09,0.0,0.0,36.22,36.22,36.22,0.0,0.0,35.63,35.63,35.63,0.0,0.0,35.87,35.87,35.87,0.0,0.0
2018-11-04,36.27,36.27,36.27,0.0,0.0,36.29,36.29,36.29,0.0,0.0,35.85,35.85,35.85,0.0,0.0,36.1,36.1,36.1,0.0,0.0
2018-11-11,35.42,35.42,35.42,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.33,35.33,35.33,0.0,0.0,35.75,35.75,35.75,0.0,0.0
2018-11-18,34.64,34.64,34.64,0.0,0.0,35.06,35.06,35.06,0.0,0.0,34.64,34.64,34.64,0.0,0.0,34.87,34.87,34.87,0.0,0.0
2018-11-25,36.2,36.2,36.2,0.0,0.0,36.46,36.46,36.46,0.0,0.0,36.06,36.06,36.06,0.0,0.0,36.4,36.4,36.4,0.0,0.0
2018-12-02,35.49,35.49,35.49,0.0,0.0,35.65,35.65,35.65,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.84,34.84,34.84,0.0,0.0
2018-12-09,34.76,34.76,34.76,0.0,0.0,34.92,34.92,34.92,0.0,0.0,34.48,34.48,34.48,0.0,0.0,34.49,34.49,34.49,0.0,0.0
