Date,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Open_average,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Open_max,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Open_min,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Open_volatility,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Open_change,PowerShares PureBeta US Aggregate Bond PortfolioEtf_High_average,PowerShares PureBeta US Aggregate Bond PortfolioEtf_High_max,PowerShares PureBeta US Aggregate Bond PortfolioEtf_High_min,PowerShares PureBeta US Aggregate Bond PortfolioEtf_High_volatility,PowerShares PureBeta US Aggregate Bond PortfolioEtf_High_change,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Low_average,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Low_max,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Low_min,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Low_volatility,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Low_change,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Close_average,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Close_max,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Close_min,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Close_volatility,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Close_change
2018-01-14,24.9,24.9,24.9,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.9,24.9,24.9,0.0,0.0
2018-01-21,24.73,24.73,24.73,0.0,0.0,24.73,24.73,24.73,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.7,24.7,24.7,0.0,0.0
2018-01-28,24.64,24.64,24.64,0.0,0.0,24.64,24.64,24.64,0.0,0.0,24.64,24.64,24.64,0.0,0.0,24.64,24.64,24.64,0.0,0.0
2018-02-04,24.54,24.54,24.54,0.0,0.0,24.54,24.54,24.54,0.0,0.0,24.54,24.54,24.54,0.0,0.0,24.54,24.54,24.54,0.0,0.0
2018-02-11,24.41,24.41,24.41,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.41,24.41,24.41,0.0,0.0
2018-02-18,24.36,24.36,24.36,0.0,0.0,24.36,24.36,24.36,0.0,0.0,24.36,24.36,24.36,0.0,0.0,24.36,24.36,24.36,0.0,0.0
2018-02-25,24.37,24.37,24.37,0.0,0.0,24.37,24.37,24.37,0.0,0.0,24.37,24.37,24.37,0.0,0.0,24.37,24.37,24.37,0.0,0.0
2018-03-04,24.37,24.37,24.37,0.0,0.0,24.37,24.37,24.37,0.0,0.0,24.37,24.37,24.37,0.0,0.0,24.37,24.37,24.37,0.0,0.0
2018-03-11,24.42,24.42,24.42,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.42,24.42,24.42,0.0,0.0
2018-03-18,24.32,24.32,24.32,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.32,24.32,24.32,0.0,0.0
