Date,iShares iBoxx High Yld ex Oil & Gas Corp BdEtf_Open_average,iShares iBoxx High Yld ex Oil & Gas Corp BdEtf_Open_max,iShares iBoxx High Yld ex Oil & Gas Corp BdEtf_Open_min,iShares iBoxx High Yld ex Oil & Gas Corp BdEtf_Open_volatility,iShares iBoxx High Yld ex Oil & Gas Corp BdEtf_Open_change,iShares iBoxx High Yld ex Oil & Gas Corp BdEtf_High_average,iShares iBoxx High Yld ex Oil & Gas Corp BdEtf_High_max,iShares iBoxx High Yld ex Oil & Gas Corp BdEtf_High_min,iShares iBoxx High Yld ex Oil & Gas Corp BdEtf_High_volatility,iShares iBoxx High Yld ex Oil & Gas Corp BdEtf_High_change,iShares iBoxx High Yld ex Oil & Gas Corp BdEtf_Low_average,iShares iBoxx High Yld ex Oil & Gas Corp BdEtf_Low_max,iShares iBoxx High Yld ex Oil & Gas Corp BdEtf_Low_min,iShares iBoxx High Yld ex Oil & Gas Corp BdEtf_Low_volatility,iShares iBoxx High Yld ex Oil & Gas Corp BdEtf_Low_change,iShares iBoxx High Yld ex Oil & Gas Corp BdEtf_Close_average,iShares iBoxx High Yld ex Oil & Gas Corp BdEtf_Close_max,iShares iBoxx High Yld ex Oil & Gas Corp BdEtf_Close_min,iShares iBoxx High Yld ex Oil & Gas Corp BdEtf_Close_volatility,iShares iBoxx High Yld ex Oil & Gas Corp BdEtf_Close_change
2018-01-14,51.22,51.22,51.22,0.0,0.0,51.22,51.22,51.22,0.0,0.0,51.18,51.18,51.18,0.0,0.0,51.18,51.18,51.18,0.0,0.0
2018-01-21,51.35,51.35,51.35,0.0,0.0,51.39,51.39,51.39,0.0,0.0,51.28,51.28,51.28,0.0,0.0,51.28,51.28,51.28,0.0,0.0
2018-01-28,50.91,50.91,50.91,0.0,0.0,50.91,50.91,50.91,0.0,0.0,50.91,50.91,50.91,0.0,0.0,50.91,50.91,50.91,0.0,0.0
2018-02-04,49.88,49.88,49.88,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.88,49.88,49.88,0.0,0.0
2018-02-11,50.7,50.7,50.7,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.7,50.7,50.7,0.0,0.0
2018-02-18,50.41,50.41,50.41,0.0,0.0,50.41,50.41,50.41,0.0,0.0,50.41,50.41,50.41,0.0,0.0,50.41,50.41,50.41,0.0,0.0
2018-02-25,50.33,50.33,50.33,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.33,50.33,50.33,0.0,0.0
2018-03-04,50.5,50.5,50.5,0.0,0.0,50.5,50.5,50.5,0.0,0.0,50.5,50.5,50.5,0.0,0.0,50.5,50.5,50.5,0.0,0.0
2018-03-11,50.3,50.3,50.3,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2018-03-18,49.99,49.99,49.99,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.97,49.97,49.97,0.0,0.0,49.97,49.97,49.97,0.0,0.0
2018-03-25,49.99,49.99,49.99,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2018-04-01,50.08,50.08,50.08,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.08,50.08,50.08,0.0,0.0
2018-04-08,50.41,50.41,50.41,0.0,0.0,50.41,50.41,50.41,0.0,0.0,50.41,50.41,50.41,0.0,0.0,50.41,50.41,50.41,0.0,0.0
2018-04-15,50.61,50.61,50.61,0.0,0.0,50.61,50.61,50.61,0.0,0.0,50.53,50.53,50.53,0.0,0.0,50.53,50.53,50.53,0.0,0.0
2018-04-22,50.33,50.33,50.33,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.33,50.33,50.33,0.0,0.0
2018-04-29,50.05,50.05,50.05,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.05,50.05,50.05,0.0,0.0
2018-05-06,50.22,50.22,50.22,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.2,50.2,50.2,0.0,0.0
2018-05-13,50.08,50.08,50.08,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.08,50.08,50.08,0.0,0.0
2018-05-20,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2018-05-27,50.04,50.04,50.04,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.04,50.04,50.04,0.0,0.0
2018-06-03,50.1,50.1,50.1,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2018-06-10,50.46,50.46,50.46,0.0,0.0,50.46,50.46,50.46,0.0,0.0,50.46,50.46,50.46,0.0,0.0,50.46,50.46,50.46,0.0,0.0
2018-06-17,50.39,50.39,50.39,0.0,0.0,50.39,50.39,50.39,0.0,0.0,50.39,50.39,50.39,0.0,0.0,50.39,50.39,50.39,0.0,0.0
2018-06-24,50.02,50.02,50.02,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.02,50.02,50.02,0.0,0.0
2018-07-01,49.81,49.81,49.81,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.81,49.81,49.81,0.0,0.0
2018-07-08,50.1,50.1,50.1,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2018-07-15,50.35,50.35,50.35,0.0,0.0,50.35,50.35,50.35,0.0,0.0,50.35,50.35,50.35,0.0,0.0,50.35,50.35,50.35,0.0,0.0
2018-07-22,50.54,50.54,50.54,0.0,0.0,50.54,50.54,50.54,0.0,0.0,50.54,50.54,50.54,0.0,0.0,50.54,50.54,50.54,0.0,0.0
2018-07-29,50.38,50.38,50.38,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.38,50.38,50.38,0.0,0.0
2018-08-05,50.55,50.55,50.55,0.0,0.0,50.55,50.55,50.55,0.0,0.0,50.52,50.52,50.52,0.0,0.0,50.52,50.52,50.52,0.0,0.0
2018-08-12,50.5,50.5,50.5,0.0,0.0,50.5,50.5,50.5,0.0,0.0,50.5,50.5,50.5,0.0,0.0,50.5,50.5,50.5,0.0,0.0
