Date,DLRStock_Open_average,DLRStock_Open_max,DLRStock_Open_min,DLRStock_Open_volatility,DLRStock_Open_change,DLRStock_High_average,DLRStock_High_max,DLRStock_High_min,DLRStock_High_volatility,DLRStock_High_change,DLRStock_Low_average,DLRStock_Low_max,DLRStock_Low_min,DLRStock_Low_volatility,DLRStock_Low_change,DLRStock_Close_average,DLRStock_Close_max,DLRStock_Close_min,DLRStock_Close_volatility,DLRStock_Close_change,DLRStock_Volume_average,DLRStock_Volume_max,DLRStock_Volume_min,DLRStock_Volume_volatility,DLRStock_Volume_change
2018-01-14,106.7775,107.24,106.26,0.9799999999999898,0.7299999999999898,108.1575,109.73,107.5,2.230000000000004,-2.230000000000004,105.75,106.48,104.52,1.960000000000008,-0.38000000000000966,107.1875,107.48,106.96,0.5200000000000102,-0.18000000000000682,1890685,2366230,1467535,898695,-421909
2018-01-21,110.07,111.63,107.39,4.239999999999995,4.239999999999995,111.27,112.05,109.35,2.700000000000003,2.700000000000003,109.516,110.98,107.11,3.8700000000000045,3.8700000000000045,110.872,111.65,109.34,2.3100000000000023,2.3100000000000023,1313203,1566281,1021704,544577,-190785
2018-01-28,108.976,112.43,106.72,5.710000000000008,-5.710000000000008,110.492,112.43,107.7,4.730000000000004,-4.400000000000006,106.664,107.45,105.4,2.049999999999997,-1.9099999999999966,108.31400000000001,111.95,106.56,5.390000000000001,0.3399999999999892,1753937,2538117,1413176,1124941,149272
2018-02-04,103.702,107.25,99.5,7.75,-7.75,105.62,108.91,102.92,5.989999999999995,-5.989999999999995,101.306,104.33,98.28,6.049999999999997,-6.049999999999997,102.834,104.5,98.96,5.540000000000006,-2.1200000000000045,1903793,2238518,1335659,902859,119922
2018-02-11,104.056,105.44,102.31,3.1299999999999955,-0.5,105.472,105.78,105.07,0.710000000000008,0.28000000000000114,102.14,103.34,100.0,3.3400000000000034,1.1800000000000068,104.618,105.45,102.2,3.25,-2.8499999999999943,2076101,2392442,1618028,774414,-136553
2018-02-18,100.055,101.41,98.01,3.3999999999999915,-0.1599999999999966,101.5,102.77,99.55,3.219999999999999,0.3399999999999892,98.6675,100.25,97.04,3.2099999999999937,0.8799999999999955,100.14,102.2,97.95,4.25,2.6200000000000045,2110484,2908511,1441224,1467287,-558640
2018-02-25,100.702,102.49,98.47,4.019999999999996,-4.019999999999996,101.326,102.93,98.49,4.440000000000012,-4.440000000000012,98.988,101.06,96.56,4.5,-4.5,99.928,101.58,98.22,3.3599999999999994,-3.3599999999999994,1595654,2287901,1298020,989881,160704
2018-03-04,101.136,103.75,97.54,6.209999999999994,6.209999999999994,102.792,104.17,100.79,3.3799999999999955,3.3799999999999955,100.482,102.14,97.47,4.670000000000002,4.430000000000007,102.292,103.72,100.36,3.3599999999999994,2.780000000000001,1266514,1699507,1059729,639778,9640
2018-03-11,104.866,105.68,103.67,2.010000000000005,1.4500000000000028,105.854,106.61,105.12,1.4899999999999949,1.4899999999999949,104.456,104.84,103.53,1.3100000000000023,1.3100000000000023,105.43599999999999,106.37,104.35,2.0200000000000102,2.0200000000000102,1408671,1670190,839446,830744,-167553
2018-03-18,104.444,106.31,102.98,3.3299999999999983,-2.980000000000004,105.27,106.37,104.29,2.0799999999999983,-2.0799999999999983,103.166,104.45,102.01,2.4399999999999977,-1.9899999999999949,103.66,104.97,102.3,2.6700000000000017,-2.450000000000003,1291641,1603784,882317,721467,334276
