Date,NROStock_Open_average,NROStock_Open_max,NROStock_Open_min,NROStock_Open_volatility,NROStock_Open_change,NROStock_High_average,NROStock_High_max,NROStock_High_min,NROStock_High_volatility,NROStock_High_change,NROStock_Low_average,NROStock_Low_max,NROStock_Low_min,NROStock_Low_volatility,NROStock_Low_change,NROStock_Close_average,NROStock_Close_max,NROStock_Close_min,NROStock_Close_volatility,NROStock_Close_change,NROStock_Volume_average,NROStock_Volume_max,NROStock_Volume_min,NROStock_Volume_volatility,NROStock_Volume_change
2018-01-14,5.21,5.25,5.16,0.08999999999999986,-0.08999999999999986,5.24375,5.29,5.22,0.07000000000000028,-0.06500000000000039,5.1675,5.2,5.13,0.07000000000000028,-0.040000000000000036,5.19875,5.225,5.18,0.04499999999999993,0.024999999999999467,31052,43288,17975,25313,-25313
2018-01-21,5.222,5.24,5.19,0.04999999999999982,-0.010000000000000675,5.244,5.26,5.23,0.02999999999999936,-0.02999999999999936,5.194,5.21,5.19,0.019999999999999574,0.0,5.212,5.23,5.19,0.040000000000000036,0.019999999999999574,30545,37513,24001,13512,-13197
2018-01-28,4.962,5.2,4.77,0.4300000000000006,-0.41999999999999993,5.002,5.2,4.79,0.41000000000000014,-0.41000000000000014,4.7379999999999995,5.14,4.29,0.8499999999999996,-0.3899999999999997,4.901,5.145,4.75,0.3949999999999996,-0.3949999999999996,105760,188164,30288,157876,22753
2018-02-04,4.658,4.75,4.5,0.25,0.009999999999999787,4.736,4.8,4.66,0.13999999999999968,-0.08999999999999986,4.586,4.73,4.5,0.23000000000000043,-0.05000000000000071,4.658,4.73,4.58,0.15000000000000036,0.04999999999999982,58400,109567,18944,90623,-13905
2018-02-11,4.614,4.68,4.59,0.08999999999999986,-0.08999999999999986,4.662,4.69,4.63,0.0600000000000005,0.010000000000000675,4.574,4.6,4.55,0.04999999999999982,0.019999999999999574,4.626,4.67,4.59,0.08000000000000007,0.07000000000000028,28040,41755,11491,30264,-23750
2018-02-18,4.637499999999999,4.68,4.59,0.08999999999999986,-0.08000000000000007,4.67,4.69,4.63,0.0600000000000005,-0.010000000000000675,4.6025,4.65,4.58,0.07000000000000028,-0.0600000000000005,4.6425,4.68,4.59,0.08999999999999986,-0.009999999999999787,13525,28613,3839,24774,3353
2018-02-25,4.692,4.7,4.68,0.020000000000000462,-0.009999999999999787,4.708,4.72,4.7,0.019999999999999574,-0.009999999999999787,4.652,4.69,4.62,0.07000000000000028,-0.040000000000000036,4.682,4.7,4.66,0.040000000000000036,-0.009999999999999787,21213,32656,11757,20899,-4099
2018-03-04,4.7059999999999995,4.76,4.67,0.08999999999999986,0.08999999999999986,4.752,4.79,4.71,0.08000000000000007,0.07000000000000028,4.702,4.75,4.67,0.08000000000000007,0.07000000000000028,4.735,4.78,4.685,0.09500000000000064,0.09500000000000064,6330,8964,4597,4367,-326
2018-03-11,4.784,4.8,4.77,0.03000000000000025,0.0,4.822,4.84,4.8,0.040000000000000036,0.019999999999999574,4.764,4.78,4.74,0.040000000000000036,-0.020000000000000462,4.81,4.84,4.8,0.040000000000000036,0.040000000000000036,17417,27896,4210,23686,9912
2018-03-18,4.732,4.83,4.67,0.16000000000000014,-0.13999999999999968,4.742,4.83,4.69,0.13999999999999968,-0.13999999999999968,4.662,4.76,4.57,0.1899999999999995,-0.1899999999999995,4.67,4.76,4.58,0.17999999999999972,-0.17999999999999972,8611,14695,2527,12168,9985
2018-03-25,4.665,4.77,4.59,0.17999999999999972,0.17999999999999972,4.6925,4.77,4.62,0.14999999999999947,0.14999999999999947,4.63,4.71,4.58,0.1299999999999999,0.1200000000000001,4.68,4.77,4.62,0.14999999999999947,0.14999999999999947,11969,20779,5578,15201,13017
2018-04-01,4.744,4.77,4.72,0.04999999999999982,-0.04999999999999982,4.776,4.79,4.76,0.03000000000000025,0.010000000000000675,4.71,4.72,4.69,0.02999999999999936,0.019999999999999574,4.76,4.78,4.72,0.0600000000000005,0.03000000000000025,14671,27408,7903,19505,-18127
2018-04-08,4.788,4.83,4.71,0.1200000000000001,-0.08999999999999986,4.792,4.83,4.71,0.1200000000000001,-0.11000000000000032,4.758,4.8,4.68,0.1200000000000001,-0.10000000000000053,4.776,4.82,4.69,0.1299999999999999,-0.1299999999999999,11938,20035,5584,14451,-5778
2018-04-15,4.716,4.74,4.67,0.07000000000000028,-0.0600000000000005,4.73,4.76,4.67,0.08999999999999986,-0.0600000000000005,4.680000000000001,4.73,4.62,0.11000000000000032,-0.07000000000000028,4.699,4.76,4.62,0.13999999999999968,-0.08999999999999986,9758,24557,3030,21527,-3962
2018-04-22,4.67,4.69,4.65,0.040000000000000036,0.040000000000000036,4.694,4.71,4.67,0.040000000000000036,0.019999999999999574,4.656,4.69,4.62,0.07000000000000028,0.07000000000000028,4.682,4.71,4.67,0.040000000000000036,0.019999999999999574,10458,15125,8061,7064,-372
2018-04-29,4.758,4.8,4.73,0.0699999999999994,0.04999999999999982,4.802,4.83,4.76,0.07000000000000028,0.07000000000000028,4.748,4.78,4.72,0.0600000000000005,0.0600000000000005,4.784,4.82,4.73,0.08999999999999986,0.08999999999999986,14466,38441,4809,33632,-33464
