Date,iShares Floating Rate BondEtf_Open_average,iShares Floating Rate BondEtf_Open_max,iShares Floating Rate BondEtf_Open_min,iShares Floating Rate BondEtf_Open_volatility,iShares Floating Rate BondEtf_Open_change,iShares Floating Rate BondEtf_High_average,iShares Floating Rate BondEtf_High_max,iShares Floating Rate BondEtf_High_min,iShares Floating Rate BondEtf_High_volatility,iShares Floating Rate BondEtf_High_change,iShares Floating Rate BondEtf_Low_average,iShares Floating Rate BondEtf_Low_max,iShares Floating Rate BondEtf_Low_min,iShares Floating Rate BondEtf_Low_volatility,iShares Floating Rate BondEtf_Low_change,iShares Floating Rate BondEtf_Close_average,iShares Floating Rate BondEtf_Close_max,iShares Floating Rate BondEtf_Close_min,iShares Floating Rate BondEtf_Close_volatility,iShares Floating Rate BondEtf_Close_change
2018-04-29,50.96,50.96,50.96,0.0,0.0,50.98,50.98,50.98,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.96,50.96,50.96,0.0,0.0
2018-05-06,50.97,50.97,50.97,0.0,0.0,50.99,50.99,50.99,0.0,0.0,50.92,50.92,50.92,0.0,0.0,50.96,50.96,50.96,0.0,0.0
2018-05-13,51.01,51.01,51.01,0.0,0.0,51.03,51.03,51.03,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.02,51.02,51.02,0.0,0.0
2018-05-20,51.04,51.04,51.04,0.0,0.0,51.05,51.05,51.05,0.0,0.0,51.03,51.03,51.03,0.0,0.0,51.05,51.05,51.05,0.0,0.0
2018-05-27,50.94,50.94,50.94,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.93,50.93,50.93,0.0,0.0
2018-06-03,50.95,50.95,50.95,0.0,0.0,50.96,50.96,50.96,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.94,50.94,50.94,0.0,0.0
2018-06-10,50.95,50.95,50.95,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.97,50.97,50.97,0.0,0.0
2018-06-17,50.98,50.98,50.98,0.0,0.0,50.98,50.98,50.98,0.0,0.0,50.96,50.96,50.96,0.0,0.0,50.98,50.98,50.98,0.0,0.0
2018-06-24,50.99,50.99,50.99,0.0,0.0,51.01,51.01,51.01,0.0,0.0,50.95,50.95,50.95,0.0,0.0,51.0,51.0,51.0,0.0,0.0
2018-07-01,50.88,50.88,50.88,0.0,0.0,50.9,50.9,50.9,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.9,50.9,50.9,0.0,0.0
2018-07-08,50.94,50.94,50.94,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.92,50.92,50.92,0.0,0.0,50.94,50.94,50.94,0.0,0.0
2018-07-15,50.98,50.98,50.98,0.0,0.0,50.98,50.98,50.98,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.95,50.95,50.95,0.0,0.0
2018-07-22,51.01,51.01,51.01,0.0,0.0,51.02,51.02,51.02,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.02,51.02,51.02,0.0,0.0
2018-07-29,50.95,50.95,50.95,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.93,50.93,50.93,0.0,0.0
2018-08-05,50.99,50.99,50.99,0.0,0.0,50.99,50.99,50.99,0.0,0.0,50.96,50.96,50.96,0.0,0.0,50.96,50.96,50.96,0.0,0.0
2018-08-12,50.98,50.98,50.98,0.0,0.0,50.99,50.99,50.99,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.99,50.99,50.99,0.0,0.0
2018-08-19,51.03,51.03,51.03,0.0,0.0,51.04,51.04,51.04,0.0,0.0,51.01,51.01,51.01,0.0,0.0,51.02,51.02,51.02,0.0,0.0
2018-08-26,51.07,51.07,51.07,0.0,0.0,51.07,51.07,51.07,0.0,0.0,51.05,51.05,51.05,0.0,0.0,51.06,51.06,51.06,0.0,0.0
2018-09-02,50.93,50.93,50.93,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.93,50.93,50.93,0.0,0.0
2018-09-09,50.98,50.98,50.98,0.0,0.0,50.99,50.99,50.99,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.97,50.97,50.97,0.0,0.0
2018-09-16,51.01,51.01,51.01,0.0,0.0,51.02,51.02,51.02,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.02,51.02,51.02,0.0,0.0
2018-09-23,51.04,51.04,51.04,0.0,0.0,51.04,51.04,51.04,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.02,51.02,51.02,0.0,0.0
2018-09-30,50.95,50.95,50.95,0.0,0.0,50.96,50.96,50.96,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.96,50.96,50.96,0.0,0.0
2018-10-07,50.95,50.95,50.95,0.0,0.0,50.96,50.96,50.96,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.93,50.93,50.93,0.0,0.0
2018-10-14,50.95,50.95,50.95,0.0,0.0,50.96,50.96,50.96,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.96,50.96,50.96,0.0,0.0
2018-10-21,50.97,50.97,50.97,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.94,50.94,50.94,0.0,0.0
2018-10-28,50.86,50.86,50.86,0.0,0.0,50.86,50.86,50.86,0.0,0.0,50.83,50.83,50.83,0.0,0.0,50.86,50.86,50.86,0.0,0.0
2018-11-04,50.88,50.88,50.88,0.0,0.0,50.91,50.91,50.91,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.9,50.9,50.9,0.0,0.0
2018-11-11,50.89,50.89,50.89,0.0,0.0,50.89,50.89,50.89,0.0,0.0,50.86,50.86,50.86,0.0,0.0,50.88,50.88,50.88,0.0,0.0
2018-11-18,50.8,50.8,50.8,0.0,0.0,50.81,50.81,50.81,0.0,0.0,50.78,50.78,50.78,0.0,0.0,50.8,50.8,50.8,0.0,0.0
2018-11-25,50.75,50.75,50.75,0.0,0.0,50.77,50.77,50.77,0.0,0.0,50.71,50.71,50.71,0.0,0.0,50.72,50.72,50.72,0.0,0.0
2018-12-02,50.26,50.26,50.26,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.37,50.37,50.37,0.0,0.0
2018-12-09,50.48,50.48,50.48,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.41,50.41,50.41,0.0,0.0,50.46,50.46,50.46,0.0,0.0
2018-12-16,50.18,50.18,50.18,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2018-12-23,50.4,50.4,50.4,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.32,50.32,50.32,0.0,0.0,50.35,50.35,50.35,0.0,0.0
2018-12-30,50.36,50.36,50.36,0.0,0.0,50.39,50.39,50.39,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.34,50.34,50.34,0.0,0.0
2019-01-06,50.45,50.45,50.45,0.0,0.0,50.49,50.49,50.49,0.0,0.0,50.44,50.44,50.44,0.0,0.0,50.48,50.48,50.48,0.0,0.0
2019-01-13,50.59,50.59,50.59,0.0,0.0,50.65,50.65,50.65,0.0,0.0,50.59,50.59,50.59,0.0,0.0,50.65,50.65,50.65,0.0,0.0
2019-01-20,50.72,50.72,50.72,0.0,0.0,50.75,50.75,50.75,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.71,50.71,50.71,0.0,0.0
2019-01-27,50.64,50.64,50.64,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.64,50.64,50.64,0.0,0.0,50.69,50.69,50.69,0.0,0.0
2019-02-03,50.68,50.68,50.68,0.0,0.0,50.73,50.73,50.73,0.0,0.0,50.68,50.68,50.68,0.0,0.0,50.73,50.73,50.73,0.0,0.0
2019-02-10,50.76,50.76,50.76,0.0,0.0,50.77,50.77,50.77,0.0,0.0,50.74,50.74,50.74,0.0,0.0,50.76,50.76,50.76,0.0,0.0
2019-02-17,50.76,50.76,50.76,0.0,0.0,50.78,50.78,50.78,0.0,0.0,50.76,50.76,50.76,0.0,0.0,50.77,50.77,50.77,0.0,0.0
2019-02-24,50.74,50.74,50.74,0.0,0.0,50.75,50.75,50.75,0.0,0.0,50.72,50.72,50.72,0.0,0.0,50.73,50.73,50.73,0.0,0.0
2019-03-03,50.75,50.75,50.75,0.0,0.0,50.78,50.78,50.78,0.0,0.0,50.75,50.75,50.75,0.0,0.0,50.77,50.77,50.77,0.0,0.0
2019-03-10,50.81,50.81,50.81,0.0,0.0,50.82,50.82,50.82,0.0,0.0,50.8,50.8,50.8,0.0,0.0,50.81,50.81,50.81,0.0,0.0
2019-03-17,50.85,50.85,50.85,0.0,0.0,50.85,50.85,50.85,0.0,0.0,50.83,50.83,50.83,0.0,0.0,50.83,50.83,50.83,0.0,0.0
2019-03-24,50.87,50.87,50.87,0.0,0.0,50.91,50.91,50.91,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.91,50.91,50.91,0.0,0.0
2019-03-31,50.83,50.83,50.83,0.0,0.0,50.83,50.83,50.83,0.0,0.0,50.81,50.81,50.81,0.0,0.0,50.81,50.81,50.81,0.0,0.0
2019-04-07,50.87,50.87,50.87,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.86,50.86,50.86,0.0,0.0,50.87,50.87,50.87,0.0,0.0
2019-04-14,50.88,50.88,50.88,0.0,0.0,50.89,50.89,50.89,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.88,50.88,50.88,0.0,0.0
2019-04-21,50.93,50.93,50.93,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.94,50.94,50.94,0.0,0.0
2019-04-28,50.87,50.87,50.87,0.0,0.0,50.89,50.89,50.89,0.0,0.0,50.86,50.86,50.86,0.0,0.0,50.89,50.89,50.89,0.0,0.0
2019-05-05,50.86,50.86,50.86,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.86,50.86,50.86,0.0,0.0,50.86,50.86,50.86,0.0,0.0
2019-05-12,50.87,50.87,50.87,0.0,0.0,50.89,50.89,50.89,0.0,0.0,50.86,50.86,50.86,0.0,0.0,50.88,50.88,50.88,0.0,0.0
2019-05-19,50.89,50.89,50.89,0.0,0.0,50.92,50.92,50.92,0.0,0.0,50.89,50.89,50.89,0.0,0.0,50.92,50.92,50.92,0.0,0.0
2019-05-26,50.92,50.92,50.92,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.92,50.92,50.92,0.0,0.0,50.95,50.95,50.95,0.0,0.0
2019-06-02,50.82,50.82,50.82,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.8,50.8,50.8,0.0,0.0,50.81,50.81,50.81,0.0,0.0
2019-06-09,50.84,50.84,50.84,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.87,50.87,50.87,0.0,0.0
2019-06-16,50.87,50.87,50.87,0.0,0.0,50.89,50.89,50.89,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.88,50.88,50.88,0.0,0.0
2019-06-23,50.92,50.92,50.92,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.91,50.91,50.91,0.0,0.0,50.93,50.93,50.93,0.0,0.0
2019-06-30,50.83,50.83,50.83,0.0,0.0,50.86,50.86,50.86,0.0,0.0,50.83,50.83,50.83,0.0,0.0,50.84,50.84,50.84,0.0,0.0
2019-07-07,50.86,50.86,50.86,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.86,50.86,50.86,0.0,0.0,50.86,50.86,50.86,0.0,0.0
2019-07-14,50.91,50.91,50.91,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.91,50.91,50.91,0.0,0.0,50.94,50.94,50.94,0.0,0.0
2019-07-21,50.94,50.94,50.94,0.0,0.0,50.96,50.96,50.96,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.95,50.95,50.95,0.0,0.0
2019-07-28,50.83,50.83,50.83,0.0,0.0,50.85,50.85,50.85,0.0,0.0,50.83,50.83,50.83,0.0,0.0,50.84,50.84,50.84,0.0,0.0
2019-08-04,50.83,50.83,50.83,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.82,50.82,50.82,0.0,0.0,50.82,50.82,50.82,0.0,0.0
2019-08-11,50.83,50.83,50.83,0.0,0.0,50.85,50.85,50.85,0.0,0.0,50.83,50.83,50.83,0.0,0.0,50.84,50.84,50.84,0.0,0.0
2019-08-18,50.87,50.87,50.87,0.0,0.0,50.9,50.9,50.9,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.88,50.88,50.88,0.0,0.0
2019-08-25,50.92,50.92,50.92,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.92,50.92,50.92,0.0,0.0,50.94,50.94,50.94,0.0,0.0
2019-09-01,50.83,50.83,50.83,0.0,0.0,50.89,50.89,50.89,0.0,0.0,50.83,50.83,50.83,0.0,0.0,50.89,50.89,50.89,0.0,0.0
2019-09-08,50.9,50.9,50.9,0.0,0.0,50.92,50.92,50.92,0.0,0.0,50.89,50.89,50.89,0.0,0.0,50.91,50.91,50.91,0.0,0.0
2019-09-15,50.94,50.94,50.94,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.92,50.92,50.92,0.0,0.0,50.94,50.94,50.94,0.0,0.0
2019-09-22,50.96,50.96,50.96,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.97,50.97,50.97,0.0,0.0
2019-09-29,50.87,50.87,50.87,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.86,50.86,50.86,0.0,0.0,50.87,50.87,50.87,0.0,0.0
2019-10-06,50.91,50.91,50.91,0.0,0.0,50.92,50.92,50.92,0.0,0.0,50.89,50.89,50.89,0.0,0.0,50.91,50.91,50.91,0.0,0.0
2019-10-13,50.94,50.94,50.94,0.0,0.0,50.96,50.96,50.96,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.93,50.93,50.93,0.0,0.0
2019-10-20,50.99,50.99,50.99,0.0,0.0,51.0,51.0,51.0,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.98,50.98,50.98,0.0,0.0
2019-10-27,50.9,50.9,50.9,0.0,0.0,50.92,50.92,50.92,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.88,50.88,50.88,0.0,0.0
2019-11-03,50.92,50.92,50.92,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.92,50.92,50.92,0.0,0.0,50.93,50.93,50.93,0.0,0.0
2019-11-10,50.96,50.96,50.96,0.0,0.0,50.96,50.96,50.96,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.96,50.96,50.96,0.0,0.0
2019-11-17,50.98,50.98,50.98,0.0,0.0,50.99,50.99,50.99,0.0,0.0,50.98,50.98,50.98,0.0,0.0,50.99,50.99,50.99,0.0,0.0
2019-11-24,51.02,51.02,51.02,0.0,0.0,51.02,51.02,51.02,0.0,0.0,50.99,50.99,50.99,0.0,0.0,50.99,50.99,50.99,0.0,0.0
2019-12-01,50.93,50.93,50.93,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.92,50.92,50.92,0.0,0.0,50.92,50.92,50.92,0.0,0.0
2019-12-08,50.95,50.95,50.95,0.0,0.0,50.96,50.96,50.96,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.96,50.96,50.96,0.0,0.0
2019-12-15,50.87,50.87,50.87,0.0,0.0,50.9,50.9,50.9,0.0,0.0,50.86,50.86,50.86,0.0,0.0,50.89,50.89,50.89,0.0,0.0
2019-12-22,50.92,50.92,50.92,0.0,0.0,50.92,50.92,50.92,0.0,0.0,50.9,50.9,50.9,0.0,0.0,50.91,50.91,50.91,0.0,0.0
2019-12-29,50.94,50.94,50.94,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.97,50.97,50.97,0.0,0.0
2020-01-05,50.99,50.99,50.99,0.0,0.0,51.0,51.0,51.0,0.0,0.0,50.98,50.98,50.98,0.0,0.0,50.98,50.98,50.98,0.0,0.0
2020-01-12,51.02,51.02,51.02,0.0,0.0,51.03,51.03,51.03,0.0,0.0,51.01,51.01,51.01,0.0,0.0,51.02,51.02,51.02,0.0,0.0
2020-01-19,51.07,51.07,51.07,0.0,0.0,51.07,51.07,51.07,0.0,0.0,51.03,51.03,51.03,0.0,0.0,51.05,51.05,51.05,0.0,0.0
2020-01-26,51.06,51.06,51.06,0.0,0.0,51.09,51.09,51.09,0.0,0.0,51.05,51.05,51.05,0.0,0.0,51.07,51.07,51.07,0.0,0.0
2020-02-02,51.04,51.04,51.04,0.0,0.0,51.04,51.04,51.04,0.0,0.0,51.02,51.02,51.02,0.0,0.0,51.04,51.04,51.04,0.0,0.0
2020-02-09,51.04,51.04,51.04,0.0,0.0,51.08,51.08,51.08,0.0,0.0,51.04,51.04,51.04,0.0,0.0,51.07,51.07,51.07,0.0,0.0
2020-02-16,51.09,51.09,51.09,0.0,0.0,51.1,51.1,51.1,0.0,0.0,51.08,51.08,51.08,0.0,0.0,51.09,51.09,51.09,0.0,0.0
2020-02-23,50.98,50.98,50.98,0.0,0.0,51.0,51.0,51.0,0.0,0.0,50.92,50.92,50.92,0.0,0.0,50.95,50.95,50.95,0.0,0.0
2020-03-01,50.85,50.85,50.85,0.0,0.0,50.91,50.91,50.91,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.91,50.91,50.91,0.0,0.0
2020-03-08,47.5,47.5,47.5,0.0,0.0,48.28,48.28,48.28,0.0,0.0,47.24,47.24,47.24,0.0,0.0,48.19,48.19,48.19,0.0,0.0
2020-03-15,43.83,43.83,43.83,0.0,0.0,45.88,45.88,45.88,0.0,0.0,43.83,43.83,43.83,0.0,0.0,45.24,45.24,45.24,0.0,0.0
2020-03-22,47.8,47.8,47.8,0.0,0.0,48.03,48.03,48.03,0.0,0.0,47.68,47.68,47.68,0.0,0.0,48.03,48.03,48.03,0.0,0.0
2020-03-29,48.87,48.87,48.87,0.0,0.0,49.1,49.1,49.1,0.0,0.0,48.83,48.83,48.83,0.0,0.0,49.0,49.0,49.0,0.0,0.0
2020-04-05,49.32,49.32,49.32,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.32,49.32,49.32,0.0,0.0,49.54,49.54,49.54,0.0,0.0
2020-04-12,49.79,49.79,49.79,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.85,49.85,49.85,0.0,0.0
2020-04-19,49.81,49.81,49.81,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.87,49.87,49.87,0.0,0.0
2020-04-26,49.88,49.88,49.88,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.88,49.88,49.88,0.0,0.0
2020-05-03,49.99,49.99,49.99,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2020-05-10,50.09,50.09,50.09,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.07,50.07,50.07,0.0,0.0
2020-05-17,50.21,50.21,50.21,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2020-05-24,50.26,50.26,50.26,0.0,0.0,50.32,50.32,50.32,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2020-05-31,50.39,50.39,50.39,0.0,0.0,50.39,50.39,50.39,0.0,0.0,50.39,50.39,50.39,0.0,0.0,50.39,50.39,50.39,0.0,0.0
2020-06-07,50.34,50.34,50.34,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.33,50.33,50.33,0.0,0.0
2020-06-14,50.5,50.5,50.5,0.0,0.0,50.5,50.5,50.5,0.0,0.0,50.47,50.47,50.47,0.0,0.0,50.5,50.5,50.5,0.0,0.0
2020-06-21,50.53,50.53,50.53,0.0,0.0,50.58,50.58,50.58,0.0,0.0,50.52,50.52,50.52,0.0,0.0,50.55,50.55,50.55,0.0,0.0
2020-06-28,50.55,50.55,50.55,0.0,0.0,50.55,50.55,50.55,0.0,0.0,50.55,50.55,50.55,0.0,0.0,50.55,50.55,50.55,0.0,0.0
2020-07-05,50.5,50.5,50.5,0.0,0.0,50.53,50.53,50.53,0.0,0.0,50.5,50.5,50.5,0.0,0.0,50.51,50.51,50.51,0.0,0.0
