Date,PowerShares PureBeta MSCI USA Small Cap PortfolioEtf_Open_average,PowerShares PureBeta MSCI USA Small Cap PortfolioEtf_Open_max,PowerShares PureBeta MSCI USA Small Cap PortfolioEtf_Open_min,PowerShares PureBeta MSCI USA Small Cap PortfolioEtf_Open_volatility,PowerShares PureBeta MSCI USA Small Cap PortfolioEtf_Open_change,PowerShares PureBeta MSCI USA Small Cap PortfolioEtf_High_average,PowerShares PureBeta MSCI USA Small Cap PortfolioEtf_High_max,PowerShares PureBeta MSCI USA Small Cap PortfolioEtf_High_min,PowerShares PureBeta MSCI USA Small Cap PortfolioEtf_High_volatility,PowerShares PureBeta MSCI USA Small Cap PortfolioEtf_High_change,PowerShares PureBeta MSCI USA Small Cap PortfolioEtf_Low_average,PowerShares PureBeta MSCI USA Small Cap PortfolioEtf_Low_max,PowerShares PureBeta MSCI USA Small Cap PortfolioEtf_Low_min,PowerShares PureBeta MSCI USA Small Cap PortfolioEtf_Low_volatility,PowerShares PureBeta MSCI USA Small Cap PortfolioEtf_Low_change,PowerShares PureBeta MSCI USA Small Cap PortfolioEtf_Close_average,PowerShares PureBeta MSCI USA Small Cap PortfolioEtf_Close_max,PowerShares PureBeta MSCI USA Small Cap PortfolioEtf_Close_min,PowerShares PureBeta MSCI USA Small Cap PortfolioEtf_Close_volatility,PowerShares PureBeta MSCI USA Small Cap PortfolioEtf_Close_change
2018-01-14,27.65,27.65,27.65,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.64,27.64,27.64,0.0,0.0,27.66,27.66,27.66,0.0,0.0
2018-01-21,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0
2018-01-28,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0
2018-02-04,25.61,25.61,25.61,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.61,25.61,25.61,0.0,0.0
2018-02-11,25.61,25.61,25.61,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.61,25.61,25.61,0.0,0.0
2018-02-18,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0
2018-02-25,26.9,26.9,26.9,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.9,26.9,26.9,0.0,0.0
2018-03-04,27.11,27.11,27.11,0.0,0.0,27.11,27.11,27.11,0.0,0.0,27.11,27.11,27.11,0.0,0.0,27.11,27.11,27.11,0.0,0.0
2018-03-11,27.11,27.11,27.11,0.0,0.0,27.11,27.11,27.11,0.0,0.0,27.11,27.11,27.11,0.0,0.0,27.11,27.11,27.11,0.0,0.0
2018-03-18,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0
2018-03-25,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0
2018-04-01,24.8,24.8,24.8,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.8,24.8,24.8,0.0,0.0
2018-04-08,24.8,24.8,24.8,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.8,24.8,24.8,0.0,0.0
2018-04-15,24.8,24.8,24.8,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.8,24.8,24.8,0.0,0.0
2018-04-22,27.11,27.11,27.11,0.0,0.0,27.11,27.11,27.11,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.9,26.9,26.9,0.0,0.0
2018-04-29,26.9,26.9,26.9,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.9,26.9,26.9,0.0,0.0
2018-05-06,26.9,26.9,26.9,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.9,26.9,26.9,0.0,0.0
2018-05-13,27.92,27.92,27.92,0.0,0.0,27.92,27.92,27.92,0.0,0.0,27.92,27.92,27.92,0.0,0.0,27.92,27.92,27.92,0.0,0.0
2018-05-20,27.92,27.92,27.92,0.0,0.0,27.92,27.92,27.92,0.0,0.0,27.92,27.92,27.92,0.0,0.0,27.92,27.92,27.92,0.0,0.0
2018-05-27,27.92,27.92,27.92,0.0,0.0,27.92,27.92,27.92,0.0,0.0,27.92,27.92,27.92,0.0,0.0,27.92,27.92,27.92,0.0,0.0
2018-06-03,28.9,28.9,28.9,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2018-06-10,29.04,29.04,29.04,0.0,0.0,29.04,29.04,29.04,0.0,0.0,29.04,29.04,29.04,0.0,0.0,29.04,29.04,29.04,0.0,0.0
2018-06-17,29.31,29.31,29.31,0.0,0.0,29.31,29.31,29.31,0.0,0.0,29.31,29.31,29.31,0.0,0.0,29.31,29.31,29.31,0.0,0.0
