Date,Vanguard Intermediate-Term Government BondEtf_Open_average,Vanguard Intermediate-Term Government BondEtf_Open_max,Vanguard Intermediate-Term Government BondEtf_Open_min,Vanguard Intermediate-Term Government BondEtf_Open_volatility,Vanguard Intermediate-Term Government BondEtf_Open_change,Vanguard Intermediate-Term Government BondEtf_High_average,Vanguard Intermediate-Term Government BondEtf_High_max,Vanguard Intermediate-Term Government BondEtf_High_min,Vanguard Intermediate-Term Government BondEtf_High_volatility,Vanguard Intermediate-Term Government BondEtf_High_change,Vanguard Intermediate-Term Government BondEtf_Low_average,Vanguard Intermediate-Term Government BondEtf_Low_max,Vanguard Intermediate-Term Government BondEtf_Low_min,Vanguard Intermediate-Term Government BondEtf_Low_volatility,Vanguard Intermediate-Term Government BondEtf_Low_change,Vanguard Intermediate-Term Government BondEtf_Close_average,Vanguard Intermediate-Term Government BondEtf_Close_max,Vanguard Intermediate-Term Government BondEtf_Close_min,Vanguard Intermediate-Term Government BondEtf_Close_volatility,Vanguard Intermediate-Term Government BondEtf_Close_change
2018-01-14,63.33,63.33,63.33,0.0,0.0,63.33,63.33,63.33,0.0,0.0,63.22,63.22,63.22,0.0,0.0,63.22,63.22,63.22,0.0,0.0
2018-01-21,63.28,63.28,63.28,0.0,0.0,63.28,63.28,63.28,0.0,0.0,63.16,63.16,63.16,0.0,0.0,63.2,63.2,63.2,0.0,0.0
2018-01-28,62.67,62.67,62.67,0.0,0.0,62.71,62.71,62.71,0.0,0.0,62.57,62.57,62.57,0.0,0.0,62.65,62.65,62.65,0.0,0.0
2018-02-04,62.7,62.7,62.7,0.0,0.0,63.02,63.02,63.02,0.0,0.0,62.66,62.66,62.66,0.0,0.0,62.76,62.76,62.76,0.0,0.0
2018-02-11,62.63,62.63,62.63,0.0,0.0,62.66,62.66,62.66,0.0,0.0,62.57,62.57,62.57,0.0,0.0,62.59,62.59,62.59,0.0,0.0
2018-02-18,62.6,62.6,62.6,0.0,0.0,62.71,62.71,62.71,0.0,0.0,62.6,62.6,62.6,0.0,0.0,62.66,62.66,62.66,0.0,0.0
2018-02-25,62.71,62.71,62.71,0.0,0.0,62.72,62.72,62.72,0.0,0.0,62.57,62.57,62.57,0.0,0.0,62.59,62.59,62.59,0.0,0.0
2018-03-04,62.54,62.54,62.54,0.0,0.0,62.58,62.58,62.58,0.0,0.0,62.48,62.48,62.48,0.0,0.0,62.54,62.54,62.54,0.0,0.0
2018-03-11,62.7,62.7,62.7,0.0,0.0,62.71,62.71,62.71,0.0,0.0,62.63,62.63,62.63,0.0,0.0,62.65,62.65,62.65,0.0,0.0
2018-03-18,62.74,62.74,62.74,0.0,0.0,62.84,62.84,62.84,0.0,0.0,62.72,62.72,62.72,0.0,0.0,62.84,62.84,62.84,0.0,0.0
2018-03-25,62.89,62.89,62.89,0.0,0.0,63.03,63.03,63.03,0.0,0.0,62.89,62.89,62.89,0.0,0.0,62.98,62.98,62.98,0.0,0.0
2018-04-01,62.81,62.81,62.81,0.0,0.0,62.88,62.88,62.88,0.0,0.0,62.74,62.74,62.74,0.0,0.0,62.88,62.88,62.88,0.0,0.0
2018-04-08,62.61,62.61,62.61,0.0,0.0,62.69,62.69,62.69,0.0,0.0,62.61,62.61,62.61,0.0,0.0,62.66,62.66,62.66,0.0,0.0
2018-04-15,62.36,62.36,62.36,0.0,0.0,62.38,62.38,62.38,0.0,0.0,62.27,62.27,62.27,0.0,0.0,62.28,62.28,62.28,0.0,0.0
2018-04-22,62.26,62.26,62.26,0.0,0.0,62.33,62.33,62.33,0.0,0.0,62.26,62.26,62.26,0.0,0.0,62.32,62.32,62.32,0.0,0.0
2018-04-29,62.34,62.34,62.34,0.0,0.0,62.34,62.34,62.34,0.0,0.0,62.23,62.23,62.23,0.0,0.0,62.29,62.29,62.29,0.0,0.0
2018-05-06,62.18,62.18,62.18,0.0,0.0,62.2,62.2,62.2,0.0,0.0,62.15,62.15,62.15,0.0,0.0,62.19,62.19,62.19,0.0,0.0
2018-05-13,61.91,61.91,61.91,0.0,0.0,62.01,62.01,62.01,0.0,0.0,61.91,61.91,61.91,0.0,0.0,61.99,61.99,61.99,0.0,0.0
2018-05-20,62.42,62.42,62.42,0.0,0.0,62.48,62.48,62.48,0.0,0.0,62.42,62.42,62.42,0.0,0.0,62.48,62.48,62.48,0.0,0.0
2018-05-27,62.41,62.41,62.41,0.0,0.0,62.49,62.49,62.49,0.0,0.0,62.38,62.38,62.38,0.0,0.0,62.45,62.45,62.45,0.0,0.0
2018-06-03,62.36,62.36,62.36,0.0,0.0,62.43,62.43,62.43,0.0,0.0,62.33,62.33,62.33,0.0,0.0,62.36,62.36,62.36,0.0,0.0
2018-06-10,62.38,62.38,62.38,0.0,0.0,62.47,62.47,62.47,0.0,0.0,62.35,62.35,62.35,0.0,0.0,62.36,62.36,62.36,0.0,0.0
