Date,Open,High,Low,Close,Volume,Currency
2016-01-04,141.38,141.7,139.43,140.5,5719507,USD
2016-01-05,140.99,141.7,139.77,141.07,3356951,USD
2016-01-06,138.83,139.35,137.26,138.83,4254056,USD
2016-01-07,136.38,136.67,132.51,133.01,7013671,USD
2016-01-08,133.7,135.1,129.8,129.99,5776933,USD
2016-01-11,130.85,131.0,128.92,130.21,5551464,USD
2016-01-12,131.58,132.17,129.64,131.92,4171513,USD
2016-01-13,132.7,132.88,127.75,128.12,5073095,USD
2016-01-14,129.59,130.07,125.81,129.2,6517753,USD
2016-01-15,125.8,127.14,124.51,125.63,6678391,USD
2016-01-19,127.06,127.22,125.11,126.06,5478911,USD
2016-01-20,124.0,124.94,119.82,122.14,7636593,USD
2016-01-21,122.77,125.98,121.54,123.4,5546240,USD
2016-01-22,124.42,125.68,123.32,124.61,5259941,USD
2016-01-25,124.6,125.24,123.4,124.01,4551572,USD
2016-01-26,124.98,128.15,124.5,128.01,5432566,USD
2016-01-27,119.9,120.11,115.02,116.58,27945884,USD
2016-01-28,117.1,118.03,115.06,118.01,10708445,USD
2016-01-29,118.14,120.18,118.02,120.13,9195721,USD
2016-02-01,119.64,122.29,118.65,121.56,6812827,USD
2016-02-02,119.69,120.28,117.37,117.52,8646673,USD
2016-02-03,118.8,122.13,117.15,121.87,7361854,USD
2016-02-04,121.12,124.91,121.12,123.61,5836971,USD
2016-02-05,123.63,124.17,121.03,122.56,6186691,USD
2016-02-08,120.67,121.33,117.25,119.47,6453599,USD
2016-02-09,117.98,119.98,117.42,118.88,4137630,USD
2016-02-10,118.16,119.46,116.27,116.36,4888570,USD
2016-02-11,113.18,113.4,102.1,108.44,33735576,USD
2016-02-12,105.12,109.84,105.0,108.63,12973383,USD
2016-02-16,109.73,112.76,109.0,112.6,7587694,USD
2016-02-17,114.03,116.83,113.99,116.34,6619560,USD
2016-02-18,116.91,118.23,116.68,117.57,6489039,USD
2016-02-19,117.31,117.33,114.42,115.16,6920644,USD
2016-02-22,116.55,118.97,116.03,117.39,4930290,USD
2016-02-23,116.97,118.5,115.93,116.9,3762341,USD
2016-02-24,115.37,115.96,112.51,115.59,6859285,USD
2016-02-25,116.35,117.6,115.78,116.82,4667100,USD
2016-02-26,117.75,119.45,117.5,118.16,3757794,USD
2016-02-29,118.12,119.47,117.5,118.18,4569734,USD
2016-03-01,119.01,120.99,118.25,119.96,4595376,USD
2016-03-02,119.63,120.75,118.5,119.65,4292475,USD
2016-03-03,118.84,119.73,118.25,119.61,3404550,USD
2016-03-04,120.17,122.23,119.85,121.07,4421538,USD
2016-03-07,120.8,123.32,120.57,122.9,4504749,USD
2016-03-08,121.98,122.97,121.31,122.35,5257279,USD
2016-03-09,122.38,123.26,122.03,122.86,3380259,USD
2016-03-10,123.14,123.82,121.43,122.94,4111343,USD
2016-03-11,124.13,125.5,123.86,124.63,3260119,USD
2016-03-14,123.93,127.0,123.86,126.34,4283351,USD
2016-03-15,125.55,126.37,124.21,126.36,3717494,USD
2016-03-16,126.24,128.13,125.75,127.57,5154713,USD
2016-03-17,128.07,131.6,127.42,130.7,5801012,USD
2016-03-18,131.24,134.68,131.01,133.96,9108420,USD
2016-03-21,133.46,136.78,133.39,135.86,5671395,USD
2016-03-22,135.14,136.1,134.78,135.12,4989023,USD
2016-03-23,134.99,135.0,132.74,132.86,4361178,USD
2016-03-24,131.61,132.23,130.03,132.12,4573148,USD
2016-03-28,132.53,132.62,130.55,131.29,3352222,USD
2016-03-29,129.83,130.93,128.18,130.88,4910240,USD
2016-03-30,131.48,132.73,128.02,128.58,5948968,USD
2016-03-31,128.09,128.38,125.25,126.94,8758273,USD
2016-04-01,126.23,127.09,125.11,126.96,5327979,USD
2016-04-04,126.54,127.97,125.88,126.34,5036477,USD
2016-04-05,126.15,128.59,125.58,127.03,4660147,USD
2016-04-06,127.16,128.04,125.75,127.93,3998029,USD
2016-04-07,127.0,128.94,126.56,127.0,4596320,USD
2016-04-08,128.04,130.02,127.61,127.88,3939827,USD
2016-04-11,128.25,129.9,127.68,127.91,3611717,USD
2016-04-12,127.62,130.38,126.68,129.47,4239155,USD
2016-04-13,130.49,131.5,129.81,131.14,3514790,USD
2016-04-14,131.5,131.95,130.53,130.85,4527589,USD
2016-04-15,130.95,131.6,130.68,131.13,5008698,USD
2016-04-18,130.64,132.25,130.32,131.97,3056130,USD
2016-04-19,132.57,133.85,132.21,132.68,2931033,USD
2016-04-20,128.55,131.36,128.49,130.57,6799035,USD
2016-04-21,130.98,132.64,130.3,130.74,4799625,USD
2016-04-22,131.09,131.83,130.5,131.05,3858140,USD
2016-04-25,130.45,131.0,129.31,130.75,4600056,USD
2016-04-26,131.25,133.27,131.06,133.24,6103385,USD
2016-04-27,133.2,137.89,131.94,137.08,6930830,USD
2016-04-28,136.29,137.72,134.5,134.8,4938833,USD
2016-04-29,134.42,135.23,132.81,134.8,3716685,USD
2016-05-02,134.38,135.0,133.23,134.01,3703832,USD
2016-05-03,132.7,133.31,131.46,132.49,4028700,USD
2016-05-04,131.59,132.31,130.53,130.89,3340540,USD
2016-05-05,131.73,132.64,131.12,132.08,4199192,USD
2016-05-06,132.11,133.63,131.76,133.26,2466030,USD
2016-05-09,132.8,133.81,131.82,132.1,3431065,USD
2016-05-10,133.18,135.24,132.79,134.72,3382661,USD
2016-05-11,133.81,134.99,132.94,133.0,3284133,USD
2016-05-12,133.49,135.04,133.49,134.42,4591261,USD
2016-05-13,133.74,134.94,131.91,132.12,3965859,USD
2016-05-16,131.63,134.41,131.55,134.14,3165440,USD
2016-05-17,133.62,134.49,131.96,132.56,4031994,USD
2016-05-18,132.45,133.18,130.34,130.99,4060391,USD
2016-05-19,130.24,130.43,127.08,128.08,5061552,USD
2016-05-20,129.13,129.25,127.21,127.39,3297732,USD
2016-05-23,127.4,128.41,125.88,127.58,3977742,USD
2016-05-24,127.76,128.81,126.32,127.5,5102368,USD
2016-05-25,128.0,129.78,127.37,128.86,4656798,USD
2016-05-26,128.48,129.9,128.32,129.31,2586274,USD
2016-05-27,128.96,129.7,128.83,129.22,3043697,USD
2016-05-31,129.88,129.98,126.04,126.15,6894401,USD
2016-06-01,126.0,126.5,124.78,126.41,4679640,USD
2016-06-02,126.65,127.03,125.32,126.85,4802106,USD
2016-06-03,126.42,127.58,125.95,127.38,5485569,USD
2016-06-06,127.6,132.08,127.45,131.9,6996226,USD
2016-06-07,132.41,133.39,131.82,131.93,4423983,USD
2016-06-08,132.52,133.53,132.04,133.0,3883726,USD
2016-06-09,132.1,133.82,131.92,133.1,3811169,USD
2016-06-10,131.76,132.12,130.37,131.14,3828593,USD
2016-06-13,130.79,131.51,129.88,129.92,3645025,USD
2016-06-14,129.63,130.6,128.5,130.5,3716959,USD
2016-06-15,130.88,131.76,129.97,130.16,3324752,USD
2016-06-16,129.32,129.89,126.9,129.37,4066106,USD
2016-06-17,129.83,129.99,128.81,129.82,6739624,USD
2016-06-20,131.36,133.9,131.21,132.75,4331887,USD
2016-06-21,133.19,133.28,131.49,131.52,2841092,USD
2016-06-22,132.1,133.16,131.58,131.77,2641444,USD
2016-06-23,133.91,134.55,132.73,133.55,4113903,USD
2016-06-24,128.14,129.39,126.21,126.52,9707256,USD
2016-06-27,125.68,125.75,122.35,122.7,6251280,USD
2016-06-28,124.5,124.76,122.7,123.89,4438083,USD
2016-06-29,125.49,127.31,124.16,126.99,4916718,USD
2016-06-30,127.08,129.87,127.08,129.87,4110845,USD
2016-07-01,129.54,130.34,129.16,129.69,3247946,USD
2016-07-05,128.43,129.0,126.63,126.97,4829391,USD
2016-07-06,127.25,127.31,123.96,126.96,3981674,USD
2016-07-07,126.92,128.17,126.26,127.17,3050067,USD
2016-07-08,128.6,130.46,127.66,130.09,3597822,USD
2016-07-11,130.84,133.25,130.8,132.04,3929870,USD
2016-07-12,132.8,133.0,130.33,130.81,4318419,USD
2016-07-13,131.28,131.39,129.37,130.11,3061397,USD
2016-07-14,131.63,131.92,130.2,131.55,3984053,USD
2016-07-15,131.8,132.75,131.45,132.39,2944890,USD
2016-07-18,132.38,133.89,131.95,133.43,3338403,USD
2016-07-19,132.91,135.67,132.83,134.66,3390031,USD
2016-07-20,134.55,135.18,134.04,134.72,2669692,USD
2016-07-21,134.76,134.98,133.03,133.53,2853738,USD
2016-07-22,131.75,133.49,130.57,133.47,4844935,USD
2016-07-25,133.18,133.3,132.38,132.94,3078599,USD
2016-07-26,132.9,134.97,132.51,134.85,4667327,USD
2016-07-27,136.14,139.45,135.71,135.96,5661668,USD
2016-07-28,135.4,135.86,132.55,133.01,5142388,USD
2016-07-29,133.05,133.8,132.3,133.66,3559058,USD
2016-08-01,133.21,134.23,132.7,133.21,3067258,USD
2016-08-02,132.95,133.4,131.35,131.6,3156760,USD
2016-08-03,131.77,132.45,131.62,131.87,2359275,USD
2016-08-04,132.0,132.55,130.96,131.21,3009006,USD
2016-08-05,132.21,132.44,131.01,131.73,3120136,USD
2016-08-08,132.14,132.95,131.75,132.19,2443769,USD
2016-08-09,132.73,132.99,132.23,132.62,3013939,USD
2016-08-10,132.1,133.53,131.71,132.28,2642249,USD
2016-08-11,132.85,133.56,132.3,133.0,2275674,USD
2016-08-12,132.9,133.78,132.63,133.1,2522553,USD
2016-08-15,133.7,135.0,133.55,134.66,2812634,USD
2016-08-16,134.15,135.21,133.4,135.0,2759206,USD
2016-08-17,134.85,134.99,134.11,134.72,2854630,USD
