Date,Open,High,Low,Close,Volume,Currency
2016-01-03,59.32,60.52,58.85,60.4,3024420,USD
2016-01-04,60.75,60.97,59.79,60.14,1563237,USD
2016-01-05,59.73,59.84,58.12,58.8,2910897,USD
2016-01-06,57.42,59.04,57.03,57.83,3030842,USD
2016-01-07,57.96,58.06,54.79,55.39,3829431,USD
2016-01-10,55.88,56.23,52.25,52.8,5479528,USD
2016-01-11,53.19,54.23,51.5,52.36,5217010,USD
2016-01-12,52.38,53.08,49.47,49.99,7352871,USD
2016-01-13,50.33,50.43,48.14,49.25,6007837,USD
2016-01-14,47.84,48.22,45.9,47.24,7173772,USD
2016-01-18,48.13,48.26,45.54,46.45,4642076,USD
2016-01-19,45.58,46.05,43.11,45.79,6382494,USD
2016-01-20,46.09,46.09,43.13,43.94,7295247,USD
2016-01-21,45.23,45.88,43.94,44.75,5539086,USD
2016-01-24,44.74,44.74,42.28,42.47,5467115,USD
2016-01-25,42.69,46.5,42.47,45.34,7895045,USD
2016-01-26,45.62,45.91,43.5,43.67,6026102,USD
2016-01-27,44.19,46.05,43.96,45.69,6465546,USD
2016-01-28,46.15,51.09,46.01,47.98,11064889,USD
2016-01-31,47.61,49.86,47.0,49.19,6419228,USD
2016-02-01,48.85,49.25,46.6,46.89,3661401,USD
2016-02-02,47.25,48.14,46.47,48.04,4073407,USD
2016-02-03,47.92,51.16,47.89,49.14,6379392,USD
2016-02-04,48.89,49.31,45.79,45.86,5234483,USD
2016-02-07,45.37,45.45,40.94,41.91,7397732,USD
2016-02-08,41.81,41.93,39.61,40.18,6549346,USD
2016-02-09,40.48,41.03,39.7,40.23,4508949,USD
2016-02-10,39.77,40.97,38.64,40.1,4903098,USD
2016-02-11,40.51,41.3,39.15,41.08,3818391,USD
2016-02-15,41.61,42.96,41.58,42.78,4197360,USD
2016-02-16,43.08,44.19,42.69,43.29,4520208,USD
2016-02-17,43.46,44.84,42.52,44.41,4605997,USD
2016-02-18,44.23,44.35,42.63,44.12,3958501,USD
2016-02-21,44.73,46.35,44.67,46.1,4253608,USD
2016-02-22,43.31,45.5,42.6,42.77,8429775,USD
2016-02-23,42.57,43.97,41.58,43.92,5516096,USD
2016-02-24,43.68,44.26,42.18,43.99,4806196,USD
2016-02-25,44.32,44.94,43.68,43.89,3387825,USD
2016-02-26,43.91,43.91,43.91,43.91,0,USD
2016-02-28,43.07,44.13,42.62,43.53,5454736,USD
2016-02-29,44.14,46.13,43.23,46.1,6967065,USD
2016-03-01,46.18,47.48,45.32,47.35,5748599,USD
2016-03-02,47.34,49.01,47.27,48.66,4405160,USD
2016-03-03,48.62,49.75,47.69,48.86,5019435,USD
2016-03-06,48.21,51.27,48.17,50.07,6168261,USD
2016-03-07,50.0,50.07,46.35,46.44,6851288,USD
2016-03-08,46.77,48.28,46.41,47.44,4792668,USD
2016-03-09,47.88,48.37,46.2,47.89,4642024,USD
2016-03-10,48.87,49.93,48.71,49.88,5183923,USD
2016-03-13,49.43,49.8,47.39,48.19,4357960,USD
2016-03-14,47.89,48.1,45.54,45.61,5349182,USD
2016-03-15,45.52,46.5,44.73,46.13,4990947,USD
2016-03-16,45.82,46.99,45.7,46.0,4226105,USD
2016-03-17,46.29,49.09,46.0,49.02,11777714,USD
2016-03-20,49.15,49.69,48.5,49.29,4098881,USD
2016-03-21,48.53,51.68,48.51,51.34,6943369,USD
2016-03-22,51.2,51.35,48.62,48.72,6578824,USD
2016-03-23,48.63,48.7,46.71,48.12,5932904,USD
2016-03-27,47.61,48.64,47.41,48.08,4257662,USD
2016-03-28,48.0,48.58,46.78,48.32,4850945,USD
2016-03-29,48.22,48.34,44.9,46.14,9783250,USD
2016-03-30,46.11,47.4,45.59,47.24,5202119,USD
2016-03-31,46.88,47.0,45.8,46.6,4008106,USD
2016-04-03,46.41,47.0,45.97,46.27,3553688,USD
2016-04-04,45.75,45.9,43.81,44.13,6061641,USD
