Date,SPDR Barclays Emerging Markets Local BondEtf_Open_average,SPDR Barclays Emerging Markets Local BondEtf_Open_max,SPDR Barclays Emerging Markets Local BondEtf_Open_min,SPDR Barclays Emerging Markets Local BondEtf_High_average,SPDR Barclays Emerging Markets Local BondEtf_High_max,SPDR Barclays Emerging Markets Local BondEtf_High_min,SPDR Barclays Emerging Markets Local BondEtf_Low_average,SPDR Barclays Emerging Markets Local BondEtf_Low_max,SPDR Barclays Emerging Markets Local BondEtf_Low_min,SPDR Barclays Emerging Markets Local BondEtf_Close_average,SPDR Barclays Emerging Markets Local BondEtf_Close_max,SPDR Barclays Emerging Markets Local BondEtf_Close_min
2018-04-08,-0.48999896309701585,-0.48999896309701585,-0.48999896309701585,-0.5811035416420267,-0.5811035416420267,-0.5811035416420267,-0.5159300277864759,-0.5159300277864759,-0.5159300277864759,-0.577933269547184,-0.577933269547184,-0.577933269547184
2018-04-15,-1.1680179780253463,-1.1680179780253463,-1.1680179780253463,-1.2599405770447276,-1.2599405770447276,-1.2599405770447276,-1.069292241341359,-1.069292241341359,-1.069292241341359,-1.1951648058970494,-1.1951648058970494,-1.1951648058970494
2018-04-22,-2.3292929262615676,-2.3292929262615676,-2.3292929262615676,-2.1629301254487925,-2.1629301254487925,-2.1629301254487925,-2.0183837333781876,-2.0183837333781876,-2.0183837333781876,-1.971640013996297,-1.971640013996297,-1.971640013996297
2018-04-29,-2.784381656916324,-2.784381656916324,-2.784381656916324,-2.636184128348117,-2.636184128348117,-2.636184128348117,-2.705647260516822,-2.705647260516822,-2.705647260516822,-2.631510416872441,-2.631510416872441,-2.631510416872441
2018-05-06,-2.024447704768909,-2.024447704768909,-2.024447704768909,-2.121320343559645,-2.121320343559645,-2.121320343559645,-2.1728790674159706,-2.1728790674159706,-2.1728790674159706,-2.2816173885090527,-2.2816173885090527,-2.2816173885090527
2018-05-13,-2.4846624882568196,-2.4846624882568196,-2.4846624882568196,-2.4728733869129704,-2.4728733869129704,-2.4728733869129704,-2.412860756232075,-2.412860756232075,-2.412860756232075,-2.422361883019781,-2.422361883019781,-2.422361883019781
2018-05-20,-1.7149435160872357,-1.7149435160872357,-1.7149435160872357,-1.7289012859911441,-1.7289012859911441,-1.7289012859911441,-1.6585064433572958,-1.6585064433572958,-1.6585064433572958,-1.7204667181679234,-1.7204667181679234,-1.7204667181679234
2018-05-27,-1.64393791444619,-1.64393791444619,-1.64393791444619,-1.6099291598108367,-1.6099291598108367,-1.6099291598108367,-1.6016526534129147,-1.6016526534129147,-1.6016526534129147,-1.611587950741796,-1.611587950741796,-1.611587950741796
2018-06-03,-1.4977693973993647,-1.4977693973993647,-1.4977693973993647,-1.4839773405930432,-1.4839773405930432,-1.4839773405930432,-1.5443773300839874,-1.5443773300839874,-1.5443773300839874,-1.4483223122915472,-1.4483223122915472,-1.4483223122915472
2018-06-10,-1.5920970315898335,-1.5920970315898335,-1.5920970315898335,-1.641033433331062,-1.641033433331062,-1.641033433331062,-1.6324193574436778,-1.6324193574436778,-1.6324193574436778,-1.6078009897171077,-1.6078009897171077,-1.6078009897171077
2018-06-17,-1.290290541660674,-1.290290541660674,-1.290290541660674,-1.3463210637264276,-1.3463210637264276,-1.3463210637264276,-1.2863691210221369,-1.2863691210221369,-1.2863691210221369,-1.3530711978044554,-1.3530711978044554,-1.3530711978044554
